Category: All categories

Week,kerch: (Worldwide)
2022-02-20,6
2022-02-27,8
2022-03-06,5
2022-03-13,4
2022-03-20,5
2022-03-27,4
2022-04-03,4
2022-04-10,5
2022-04-17,4
2022-04-24,4
2022-05-01,4
2022-05-08,4
2022-05-15,4
2022-05-22,3
2022-05-29,3
2022-06-05,3
2022-06-12,4
2022-06-19,3
2022-06-26,3
2022-07-03,5
2022-07-10,5
2022-07-17,4
2022-07-24,3
2022-07-31,3
2022-08-07,6
2022-08-14,12
2022-08-21,6
2022-08-28,4
2022-09-04,5
2022-09-11,6
2022-09-18,4
2022-09-25,4
2022-10-02,100
2022-10-09,80
2022-10-16,9
2022-10-23,6
2022-10-30,4
2022-11-06,6
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,5
2022-12-11,4
2022-12-18,3
2022-12-25,4
2023-01-01,4
2023-01-08,3
2023-01-15,3
2023-01-22,4
2023-01-29,3
2023-02-05,5
2023-02-12,4
2023-02-19,4
2023-02-26,4
2023-03-05,3
2023-03-12,3
2023-03-19,4
2023-03-26,4
2023-04-02,5
2023-04-09,3
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,6
2023-05-14,4
2023-05-21,4
2023-05-28,5
2023-06-04,4
2023-06-11,3
2023-06-18,4
2023-06-25,3
2023-07-02,3
2023-07-09,5
2023-07-16,56
