Category: All categories

Week,kherson: (Worldwide)
2022-02-20,21
2022-02-27,73
2022-03-06,12
2022-03-13,15
2022-03-20,18
2022-03-27,9
2022-04-03,8
2022-04-10,7
2022-04-17,9
2022-04-24,12
2022-05-01,10
2022-05-08,14
2022-05-15,5
2022-05-22,5
2022-05-29,11
2022-06-05,7
2022-06-12,6
2022-06-19,6
2022-06-26,5
2022-07-03,6
2022-07-10,9
2022-07-17,9
2022-07-24,19
2022-07-31,15
2022-08-07,12
2022-08-14,12
2022-08-21,8
2022-08-28,42
2022-09-04,26
2022-09-11,25
2022-09-18,18
2022-09-25,18
2022-10-02,48
2022-10-09,27
2022-10-16,47
2022-10-23,35
2022-10-30,28
2022-11-06,100
2022-11-13,43
2022-11-20,12
2022-11-27,7
2022-12-04,5
2022-12-11,6
2022-12-18,5
2022-12-25,6
2023-01-01,5
2023-01-08,3
2023-01-15,3
2023-01-22,3
2023-01-29,3
2023-02-05,2
2023-02-12,3
2023-02-19,4
2023-02-26,3
2023-03-05,3
2023-03-12,2
2023-03-19,2
2023-03-26,2
2023-04-02,2
2023-04-09,2
2023-04-16,3
2023-04-23,5
2023-04-30,4
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,22
2023-06-11,5
2023-06-18,4
2023-06-25,4
2023-07-02,2
2023-07-09,2
2023-07-16,3
