Category: All categories

Week,Khmil'nyk: (Worldwide)
2022-02-20,80
2022-02-27,75
2022-03-06,96
2022-03-13,76
2022-03-20,75
2022-03-27,74
2022-04-03,80
2022-04-10,81
2022-04-17,74
2022-04-24,73
2022-05-01,64
2022-05-08,73
2022-05-15,72
2022-05-22,82
2022-05-29,75
2022-06-05,76
2022-06-12,79
2022-06-19,72
2022-06-26,71
2022-07-03,79
2022-07-10,81
2022-07-17,69
2022-07-24,79
2022-07-31,79
2022-08-07,85
2022-08-14,70
2022-08-21,63
2022-08-28,70
2022-09-04,71
2022-09-11,71
2022-09-18,72
2022-09-25,66
2022-10-02,67
2022-10-09,63
2022-10-16,67
2022-10-23,62
2022-10-30,62
2022-11-06,60
2022-11-13,72
2022-11-20,60
2022-11-27,43
2022-12-04,46
2022-12-11,54
2022-12-18,53
2022-12-25,55
2023-01-01,67
2023-01-08,54
2023-01-15,53
2023-01-22,50
2023-01-29,59
2023-02-05,59
2023-02-12,61
2023-02-19,65
2023-02-26,66
2023-03-05,70
2023-03-12,76
2023-03-19,77
2023-03-26,76
2023-04-02,80
2023-04-09,72
2023-04-16,81
2023-04-23,72
2023-04-30,73
2023-05-07,72
2023-05-14,78
2023-05-21,76
2023-05-28,73
2023-06-04,77
2023-06-11,80
2023-06-18,88
2023-06-25,87
2023-07-02,100
2023-07-09,90
2023-07-16,88
2023-07-23,92
