Category: All categories

Week,Khotyn: (Worldwide)
2022-02-20,91
2022-02-27,93
2022-03-06,92
2022-03-13,84
2022-03-20,86
2022-03-27,84
2022-04-03,88
2022-04-10,90
2022-04-17,80
2022-04-24,79
2022-05-01,82
2022-05-08,84
2022-05-15,93
2022-05-22,87
2022-05-29,77
2022-06-05,65
2022-06-12,74
2022-06-19,70
2022-06-26,70
2022-07-03,67
2022-07-10,74
2022-07-17,67
2022-07-24,72
2022-07-31,67
2022-08-07,69
2022-08-14,71
2022-08-21,53
2022-08-28,63
2022-09-04,67
2022-09-11,66
2022-09-18,78
2022-09-25,77
2022-10-02,72
2022-10-09,82
2022-10-16,80
2022-10-23,72
2022-10-30,98
2022-11-06,99
2022-11-13,95
2022-11-20,76
2022-11-27,84
2022-12-04,85
2022-12-11,89
2022-12-18,81
2022-12-25,65
2023-01-01,71
2023-01-08,79
2023-01-15,70
2023-01-22,74
2023-01-29,87
2023-02-05,84
2023-02-12,75
2023-02-19,90
2023-02-26,87
2023-03-05,81
2023-03-12,75
2023-03-19,74
2023-03-26,82
2023-04-02,84
2023-04-09,74
2023-04-16,76
2023-04-23,97
2023-04-30,80
2023-05-07,93
2023-05-14,90
2023-05-21,100
2023-05-28,78
2023-06-04,74
2023-06-11,82
2023-06-18,77
2023-06-25,73
2023-07-02,71
2023-07-09,70
2023-07-16,68
2023-07-23,67
