Category: All categories

Week,kiev: (Worldwide)
2022-02-20,100
2022-02-27,79
2022-03-06,29
2022-03-13,21
2022-03-20,14
2022-03-27,9
2022-04-03,9
2022-04-10,9
2022-04-17,6
2022-04-24,7
2022-05-01,6
2022-05-08,5
2022-05-15,3
2022-05-22,4
2022-05-29,3
2022-06-05,3
2022-06-12,5
2022-06-19,3
2022-06-26,4
2022-07-03,3
2022-07-10,5
2022-07-17,19
2022-07-24,22
2022-07-31,5
2022-08-07,5
2022-08-14,6
2022-08-21,7
2022-08-28,4
2022-09-04,15
2022-09-11,6
2022-09-18,3
2022-09-25,2
2022-10-02,5
2022-10-09,11
2022-10-16,4
2022-10-23,5
2022-10-30,11
2022-11-06,5
2022-11-13,5
2022-11-20,4
2022-11-27,3
2022-12-04,3
2022-12-11,3
2022-12-18,3
2022-12-25,3
2023-01-01,3
2023-01-08,3
2023-01-15,3
2023-01-22,4
2023-01-29,3
2023-02-05,3
2023-02-12,3
2023-02-19,5
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,2
2023-03-26,2
2023-04-02,3
2023-04-09,3
2023-04-16,2
2023-04-23,2
2023-04-30,3
2023-05-07,3
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,2
2023-07-09,2
2023-07-16,2
