Category: All categories

Week,Kivsharivka: (Worldwide)
2022-02-20,45
2022-02-27,24
2022-03-06,26
2022-03-13,30
2022-03-20,34
2022-03-27,31
2022-04-03,28
2022-04-10,11
2022-04-17,12
2022-04-24,10
2022-05-01,7
2022-05-08,3
2022-05-15,0
2022-05-22,6
2022-05-29,8
2022-06-05,5
2022-06-12,8
2022-06-19,5
2022-06-26,7
2022-07-03,6
2022-07-10,7
2022-07-17,6
2022-07-24,6
2022-07-31,7
2022-08-07,6
2022-08-14,9
2022-08-21,0
2022-08-28,6
2022-09-04,16
2022-09-11,33
2022-09-18,22
2022-09-25,100
2022-10-02,59
2022-10-09,15
2022-10-16,19
2022-10-23,13
2022-10-30,14
2022-11-06,19
2022-11-13,12
2022-11-20,8
2022-11-27,17
2022-12-04,6
2022-12-11,11
2022-12-18,15
2022-12-25,14
2023-01-01,19
2023-01-08,20
2023-01-15,13
2023-01-22,14
2023-01-29,16
2023-02-05,12
2023-02-12,16
2023-02-19,21
2023-02-26,6
2023-03-05,8
2023-03-12,17
2023-03-19,7
2023-03-26,13
2023-04-02,17
2023-04-09,10
2023-04-16,14
2023-04-23,8
2023-04-30,11
2023-05-07,11
2023-05-14,15
2023-05-21,23
2023-05-28,50
2023-06-04,21
2023-06-11,20
2023-06-18,17
2023-06-25,7
2023-07-02,13
2023-07-09,16
2023-07-16,17
