Category: All categories

Week,Kobelyaky: (Worldwide)
2022-02-20,60
2022-02-27,58
2022-03-06,64
2022-03-13,50
2022-03-20,67
2022-03-27,67
2022-04-03,71
2022-04-10,90
2022-04-17,77
2022-04-24,63
2022-05-01,59
2022-05-08,68
2022-05-15,81
2022-05-22,83
2022-05-29,91
2022-06-05,63
2022-06-12,71
2022-06-19,97
2022-06-26,69
2022-07-03,79
2022-07-10,100
2022-07-17,100
2022-07-24,74
2022-07-31,100
2022-08-07,85
2022-08-14,75
2022-08-21,68
2022-08-28,73
2022-09-04,72
2022-09-11,85
2022-09-18,89
2022-09-25,75
2022-10-02,71
2022-10-09,60
2022-10-16,67
2022-10-23,86
2022-10-30,70
2022-11-06,64
2022-11-13,90
2022-11-20,73
2022-11-27,59
2022-12-04,59
2022-12-11,73
2022-12-18,59
2022-12-25,68
2023-01-01,72
2023-01-08,64
2023-01-15,56
2023-01-22,64
2023-01-29,61
2023-02-05,60
2023-02-12,66
2023-02-19,69
2023-02-26,59
2023-03-05,79
2023-03-12,74
2023-03-19,66
2023-03-26,86
2023-04-02,88
2023-04-09,78
2023-04-16,96
2023-04-23,88
2023-04-30,59
2023-05-07,72
2023-05-14,66
2023-05-21,78
2023-05-28,61
2023-06-04,65
2023-06-11,71
2023-06-18,81
2023-06-25,78
2023-07-02,83
2023-07-09,64
2023-07-16,74
2023-07-23,76
