Category: All categories

Week,Kolomyya: (Worldwide)
2022-02-20,88
2022-02-27,81
2022-03-06,91
2022-03-13,77
2022-03-20,76
2022-03-27,82
2022-04-03,100
2022-04-10,85
2022-04-17,79
2022-04-24,84
2022-05-01,82
2022-05-08,76
2022-05-15,79
2022-05-22,81
2022-05-29,78
2022-06-05,78
2022-06-12,73
2022-06-19,71
2022-06-26,81
2022-07-03,89
2022-07-10,85
2022-07-17,76
2022-07-24,79
2022-07-31,79
2022-08-07,86
2022-08-14,78
2022-08-21,75
2022-08-28,78
2022-09-04,73
2022-09-11,75
2022-09-18,75
2022-09-25,75
2022-10-02,64
2022-10-09,65
2022-10-16,68
2022-10-23,68
2022-10-30,69
2022-11-06,68
2022-11-13,67
2022-11-20,58
2022-11-27,54
2022-12-04,54
2022-12-11,60
2022-12-18,57
2022-12-25,65
2023-01-01,61
2023-01-08,65
2023-01-15,58
2023-01-22,57
2023-01-29,61
2023-02-05,65
2023-02-12,67
2023-02-19,68
2023-02-26,67
2023-03-05,66
2023-03-12,67
2023-03-19,72
2023-03-26,77
2023-04-02,76
2023-04-09,71
2023-04-16,72
2023-04-23,71
2023-04-30,69
2023-05-07,71
2023-05-14,76
2023-05-21,73
2023-05-28,68
2023-06-04,75
2023-06-11,75
2023-06-18,76
2023-06-25,79
2023-07-02,83
2023-07-09,74
2023-07-16,70
2023-07-23,76
