Category: All categories

Week,Korosten': (Worldwide)
2022-02-20,78
2022-02-27,97
2022-03-06,100
2022-03-13,41
2022-03-20,48
2022-03-27,48
2022-04-03,47
2022-04-10,47
2022-04-17,46
2022-04-24,58
2022-05-01,49
2022-05-08,53
2022-05-15,57
2022-05-22,77
2022-05-29,57
2022-06-05,55
2022-06-12,59
2022-06-19,61
2022-06-26,63
2022-07-03,68
2022-07-10,66
2022-07-17,61
2022-07-24,99
2022-07-31,62
2022-08-07,65
2022-08-14,56
2022-08-21,52
2022-08-28,56
2022-09-04,60
2022-09-11,59
2022-09-18,62
2022-09-25,54
2022-10-02,65
2022-10-09,54
2022-10-16,55
2022-10-23,50
2022-10-30,56
2022-11-06,53
2022-11-13,55
2022-11-20,52
2022-11-27,51
2022-12-04,52
2022-12-11,58
2022-12-18,59
2022-12-25,58
2023-01-01,57
2023-01-08,58
2023-01-15,53
2023-01-22,49
2023-01-29,52
2023-02-05,56
2023-02-12,51
2023-02-19,57
2023-02-26,56
2023-03-05,56
2023-03-12,62
2023-03-19,65
2023-03-26,77
2023-04-02,76
2023-04-09,70
2023-04-16,68
2023-04-23,70
2023-04-30,61
2023-05-07,56
2023-05-14,60
2023-05-21,56
2023-05-28,61
2023-06-04,69
2023-06-11,69
2023-06-18,73
2023-06-25,71
2023-07-02,77
2023-07-09,67
2023-07-16,68
2023-07-23,70
