Category: All categories

Week,Korostyshiv: (Worldwide)
2022-02-20,71
2022-02-27,50
2022-03-06,58
2022-03-13,50
2022-03-20,61
2022-03-27,66
2022-04-03,61
2022-04-10,65
2022-04-17,63
2022-04-24,59
2022-05-01,57
2022-05-08,61
2022-05-15,66
2022-05-22,69
2022-05-29,87
2022-06-05,61
2022-06-12,74
2022-06-19,65
2022-06-26,76
2022-07-03,81
2022-07-10,77
2022-07-17,64
2022-07-24,72
2022-07-31,72
2022-08-07,71
2022-08-14,71
2022-08-21,63
2022-08-28,57
2022-09-04,64
2022-09-11,69
2022-09-18,74
2022-09-25,65
2022-10-02,63
2022-10-09,52
2022-10-16,56
2022-10-23,65
2022-10-30,55
2022-11-06,56
2022-11-13,65
2022-11-20,60
2022-11-27,50
2022-12-04,58
2022-12-11,64
2022-12-18,56
2022-12-25,63
2023-01-01,63
2023-01-08,66
2023-01-15,55
2023-01-22,62
2023-01-29,52
2023-02-05,71
2023-02-12,61
2023-02-19,77
2023-02-26,65
2023-03-05,67
2023-03-12,67
2023-03-19,70
2023-03-26,78
2023-04-02,81
2023-04-09,85
2023-04-16,79
2023-04-23,77
2023-04-30,74
2023-05-07,61
2023-05-14,69
2023-05-21,69
2023-05-28,66
2023-06-04,75
2023-06-11,81
2023-06-18,84
2023-06-25,79
2023-07-02,90
2023-07-09,84
2023-07-16,90
2023-07-23,100
