Category: All categories

Week,Kostyantynivka: (Worldwide)
2022-02-20,92
2022-02-27,99
2022-03-06,93
2022-03-13,77
2022-03-20,89
2022-03-27,81
2022-04-03,82
2022-04-10,72
2022-04-17,54
2022-04-24,51
2022-05-01,62
2022-05-08,59
2022-05-15,65
2022-05-22,65
2022-05-29,64
2022-06-05,62
2022-06-12,63
2022-06-19,84
2022-06-26,72
2022-07-03,71
2022-07-10,75
2022-07-17,67
2022-07-24,58
2022-07-31,67
2022-08-07,55
2022-08-14,61
2022-08-21,58
2022-08-28,55
2022-09-04,53
2022-09-11,63
2022-09-18,52
2022-09-25,51
2022-10-02,48
2022-10-09,50
2022-10-16,48
2022-10-23,51
2022-10-30,56
2022-11-06,49
2022-11-13,53
2022-11-20,55
2022-11-27,56
2022-12-04,64
2022-12-11,77
2022-12-18,58
2022-12-25,62
2023-01-01,68
2023-01-08,73
2023-01-15,59
2023-01-22,70
2023-01-29,59
2023-02-05,66
2023-02-12,63
2023-02-19,65
2023-02-26,67
2023-03-05,73
2023-03-12,100
2023-03-19,77
2023-03-26,68
2023-04-02,88
2023-04-09,59
2023-04-16,61
2023-04-23,64
2023-04-30,62
2023-05-07,58
2023-05-14,58
2023-05-21,52
2023-05-28,50
2023-06-04,44
2023-06-11,57
2023-06-18,51
2023-06-25,59
2023-07-02,57
2023-07-09,59
2023-07-16,64
