Category: All categories

Week,Kozats'ke: (Worldwide)
2022-02-20,54
2022-02-27,40
2022-03-06,40
2022-03-13,0
2022-03-20,0
2022-03-27,45
2022-04-03,12
2022-04-10,35
2022-04-17,37
2022-04-24,28
2022-05-01,14
2022-05-08,45
2022-05-15,54
2022-05-22,0
2022-05-29,82
2022-06-05,25
2022-06-12,0
2022-06-19,22
2022-06-26,45
2022-07-03,48
2022-07-10,0
2022-07-17,53
2022-07-24,51
2022-07-31,65
2022-08-07,49
2022-08-14,55
2022-08-21,18
2022-08-28,35
2022-09-04,35
2022-09-11,50
2022-09-18,32
2022-09-25,49
2022-10-02,48
2022-10-09,0
2022-10-16,0
2022-10-23,42
2022-10-30,29
2022-11-06,51
2022-11-13,0
2022-11-20,33
2022-11-27,53
2022-12-04,92
2022-12-11,0
2022-12-18,28
2022-12-25,25
2023-01-01,40
2023-01-08,14
2023-01-15,34
2023-01-22,26
2023-01-29,0
2023-02-05,27
2023-02-12,28
2023-02-19,22
2023-02-26,21
2023-03-05,22
2023-03-12,27
2023-03-19,29
2023-03-26,61
2023-04-02,51
2023-04-09,42
2023-04-16,57
2023-04-23,0
2023-04-30,52
2023-05-07,0
2023-05-14,44
2023-05-21,100
2023-05-28,71
2023-06-04,50
2023-06-11,57
2023-06-18,46
2023-06-25,77
2023-07-02,21
2023-07-09,79
2023-07-16,92
2023-07-23,88
