Category: All categories

Week,kramatorsk: (Worldwide)
2022-02-20,20
2022-02-27,4
2022-03-06,3
2022-03-13,4
2022-03-20,4
2022-03-27,3
2022-04-03,100
2022-04-10,31
2022-04-17,10
2022-04-24,6
2022-05-01,7
2022-05-08,4
2022-05-15,3
2022-05-22,5
2022-05-29,4
2022-06-05,3
2022-06-12,2
2022-06-19,2
2022-06-26,4
2022-07-03,9
2022-07-10,4
2022-07-17,3
2022-07-24,2
2022-07-31,1
2022-08-07,2
2022-08-14,1
2022-08-21,1
2022-08-28,1
2022-09-04,1
2022-09-11,2
2022-09-18,2
2022-09-25,2
2022-10-02,2
2022-10-09,1
2022-10-16,1
2022-10-23,1
2022-10-30,1
2022-11-06,1
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,1
2022-12-25,2
2023-01-01,3
2023-01-08,9
2023-01-15,2
2023-01-22,2
2023-01-29,6
2023-02-05,3
2023-02-12,2
2023-02-19,3
2023-02-26,3
2023-03-05,3
2023-03-12,3
2023-03-19,2
2023-03-26,1
2023-04-02,2
2023-04-09,1
2023-04-16,1
2023-04-23,1
2023-04-30,2
2023-05-07,1
2023-05-14,1
2023-05-21,2
2023-05-28,1
2023-06-04,1
2023-06-11,1
2023-06-18,1
2023-06-25,40
2023-07-02,4
2023-07-09,2
2023-07-16,1
