Category: All categories

Week,Krasnohrad: (Worldwide)
2022-02-20,73
2022-02-27,95
2022-03-06,80
2022-03-13,56
2022-03-20,54
2022-03-27,70
2022-04-03,89
2022-04-10,76
2022-04-17,70
2022-04-24,60
2022-05-01,82
2022-05-08,75
2022-05-15,71
2022-05-22,67
2022-05-29,80
2022-06-05,58
2022-06-12,74
2022-06-19,70
2022-06-26,73
2022-07-03,67
2022-07-10,77
2022-07-17,75
2022-07-24,71
2022-07-31,73
2022-08-07,64
2022-08-14,100
2022-08-21,62
2022-08-28,67
2022-09-04,59
2022-09-11,58
2022-09-18,74
2022-09-25,67
2022-10-02,62
2022-10-09,58
2022-10-16,61
2022-10-23,59
2022-10-30,57
2022-11-06,51
2022-11-13,58
2022-11-20,45
2022-11-27,47
2022-12-04,53
2022-12-11,60
2022-12-18,57
2022-12-25,59
2023-01-01,59
2023-01-08,61
2023-01-15,55
2023-01-22,49
2023-01-29,54
2023-02-05,51
2023-02-12,55
2023-02-19,57
2023-02-26,52
2023-03-05,62
2023-03-12,64
2023-03-19,53
2023-03-26,67
2023-04-02,62
2023-04-09,62
2023-04-16,71
2023-04-23,67
2023-04-30,58
2023-05-07,57
2023-05-14,52
2023-05-21,61
2023-05-28,59
2023-06-04,54
2023-06-11,62
2023-06-18,62
2023-06-25,67
2023-07-02,68
2023-07-09,66
2023-07-16,62
2023-07-23,47
