Category: All categories

Week,Krasnopillya: (Worldwide)
2022-02-20,100
2022-02-27,50
2022-03-06,31
2022-03-13,23
2022-03-20,34
2022-03-27,44
2022-04-03,32
2022-04-10,35
2022-04-17,31
2022-04-24,32
2022-05-01,21
2022-05-08,32
2022-05-15,36
2022-05-22,76
2022-05-29,48
2022-06-05,29
2022-06-12,62
2022-06-19,60
2022-06-26,51
2022-07-03,48
2022-07-10,55
2022-07-17,40
2022-07-24,40
2022-07-31,41
2022-08-07,36
2022-08-14,33
2022-08-21,26
2022-08-28,40
2022-09-04,32
2022-09-11,31
2022-09-18,42
2022-09-25,29
2022-10-02,34
2022-10-09,25
2022-10-16,27
2022-10-23,31
2022-10-30,30
2022-11-06,25
2022-11-13,35
2022-11-20,32
2022-11-27,29
2022-12-04,31
2022-12-11,32
2022-12-18,34
2022-12-25,42
2023-01-01,36
2023-01-08,26
2023-01-15,33
2023-01-22,49
2023-01-29,26
2023-02-05,27
2023-02-12,34
2023-02-19,29
2023-02-26,23
2023-03-05,35
2023-03-12,27
2023-03-19,29
2023-03-26,35
2023-04-02,34
2023-04-09,32
2023-04-16,34
2023-04-23,46
2023-04-30,38
2023-05-07,30
2023-05-14,30
2023-05-21,39
2023-05-28,37
2023-06-04,41
2023-06-11,42
2023-06-18,42
2023-06-25,50
2023-07-02,45
2023-07-09,37
2023-07-16,49
