Category: All categories

Week,kremenets: (Worldwide)
2022-02-20,54
2022-02-27,46
2022-03-06,33
2022-03-13,0
2022-03-20,17
2022-03-27,0
2022-04-03,100
2022-04-10,35
2022-04-17,17
2022-04-24,0
2022-05-01,0
2022-05-08,35
2022-05-15,28
2022-05-22,0
2022-05-29,29
2022-06-05,35
2022-06-12,0
2022-06-19,18
2022-06-26,61
2022-07-03,31
2022-07-10,0
2022-07-17,44
2022-07-24,21
2022-07-31,0
2022-08-07,0
2022-08-14,22
2022-08-21,51
2022-08-28,0
2022-09-04,34
2022-09-11,0
2022-09-18,33
2022-09-25,46
2022-10-02,34
2022-10-09,25
2022-10-16,21
2022-10-23,0
2022-10-30,0
2022-11-06,23
2022-11-13,35
2022-11-20,0
2022-11-27,16
2022-12-04,20
2022-12-11,0
2022-12-18,40
2022-12-25,0
2023-01-01,0
2023-01-08,22
2023-01-15,17
2023-01-22,0
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,0
2023-02-26,29
2023-03-05,16
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,30
2023-04-09,67
2023-04-16,24
2023-04-23,50
2023-04-30,0
2023-05-07,96
2023-05-14,0
2023-05-21,0
2023-05-28,0
2023-06-04,0
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,19
2023-07-09,0
2023-07-16,0
