Category: All categories

Week,kreminna: (Worldwide)
2022-02-20,<1
2022-02-27,2
2022-03-06,1
2022-03-13,<1
2022-03-20,1
2022-03-27,<1
2022-04-03,3
2022-04-10,1
2022-04-17,80
2022-04-24,12
2022-05-01,1
2022-05-08,1
2022-05-15,1
2022-05-22,<1
2022-05-29,<1
2022-06-05,0
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,1
2022-07-10,0
2022-07-17,1
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,<1
2022-08-28,<1
2022-09-04,4
2022-09-11,31
2022-09-18,3
2022-09-25,11
2022-10-02,37
2022-10-09,9
2022-10-16,4
2022-10-23,6
2022-10-30,5
2022-11-06,3
2022-11-13,7
2022-11-20,5
2022-11-27,7
2022-12-04,7
2022-12-11,8
2022-12-18,9
2022-12-25,100
2023-01-01,36
2023-01-08,19
2023-01-15,19
2023-01-22,12
2023-01-29,8
2023-02-05,11
2023-02-12,5
2023-02-19,7
2023-02-26,4
2023-03-05,2
2023-03-12,3
2023-03-19,5
2023-03-26,2
2023-04-02,2
2023-04-09,1
2023-04-16,2
2023-04-23,2
2023-04-30,1
2023-05-07,1
2023-05-14,1
2023-05-21,1
2023-05-28,1
2023-06-04,1
2023-06-11,8
2023-06-18,2
2023-06-25,3
2023-07-02,1
2023-07-09,2
2023-07-16,2
