Category: All categories

Week,kropyvnytskyi: (Worldwide)
2022-02-20,48
2022-02-27,100
2022-03-06,45
2022-03-13,33
2022-03-20,22
2022-03-27,19
2022-04-03,19
2022-04-10,24
2022-04-17,41
2022-04-24,21
2022-05-01,28
2022-05-08,45
2022-05-15,18
2022-05-22,18
2022-05-29,29
2022-06-05,21
2022-06-12,17
2022-06-19,13
2022-06-26,18
2022-07-03,23
2022-07-10,19
2022-07-17,0
2022-07-24,87
2022-07-31,10
2022-08-07,12
2022-08-14,9
2022-08-21,21
2022-08-28,0
2022-09-04,21
2022-09-11,17
2022-09-18,0
2022-09-25,35
2022-10-02,13
2022-10-09,15
2022-10-16,19
2022-10-23,20
2022-10-30,7
2022-11-06,8
2022-11-13,18
2022-11-20,0
2022-11-27,11
2022-12-04,19
2022-12-11,0
2022-12-18,27
2022-12-25,13
2023-01-01,11
2023-01-08,13
2023-01-15,14
2023-01-22,9
2023-01-29,10
2023-02-05,15
2023-02-12,0
2023-02-19,38
2023-02-26,24
2023-03-05,24
2023-03-12,10
2023-03-19,6
2023-03-26,0
2023-04-02,21
2023-04-09,23
2023-04-16,7
2023-04-23,24
2023-04-30,33
2023-05-07,16
2023-05-14,12
2023-05-21,16
2023-05-28,21
2023-06-04,39
2023-06-11,17
2023-06-18,12
2023-06-25,27
2023-07-02,29
2023-07-09,11
2023-07-16,15
