Category: All categories

Week,kryvyi rih: (Worldwide)
2022-02-20,31
2022-02-27,66
2022-03-06,28
2022-03-13,29
2022-03-20,34
2022-03-27,25
2022-04-03,17
2022-04-10,18
2022-04-17,18
2022-04-24,31
2022-05-01,31
2022-05-08,19
2022-05-15,5
2022-05-22,14
2022-05-29,24
2022-06-05,13
2022-06-12,10
2022-06-19,9
2022-06-26,7
2022-07-03,12
2022-07-10,10
2022-07-17,9
2022-07-24,7
2022-07-31,23
2022-08-07,14
2022-08-14,11
2022-08-21,15
2022-08-28,15
2022-09-04,17
2022-09-11,100
2022-09-18,11
2022-09-25,17
2022-10-02,21
2022-10-09,16
2022-10-16,15
2022-10-23,14
2022-10-30,16
2022-11-06,15
2022-11-13,19
2022-11-20,9
2022-11-27,33
2022-12-04,12
2022-12-11,12
2022-12-18,9
2022-12-25,8
2023-01-01,5
2023-01-08,6
2023-01-15,6
2023-01-22,2
2023-01-29,7
2023-02-05,10
2023-02-12,8
2023-02-19,5
2023-02-26,13
2023-03-05,8
2023-03-12,12
2023-03-19,8
2023-03-26,5
2023-04-02,9
2023-04-09,7
2023-04-16,5
2023-04-23,8
2023-04-30,11
2023-05-07,16
2023-05-14,10
2023-05-21,27
2023-05-28,10
2023-06-04,12
2023-06-11,60
2023-06-18,10
2023-06-25,8
2023-07-02,6
2023-07-09,6
2023-07-16,7
