Category: All categories

Week,Kurakhove: (Worldwide)
2022-02-20,53
2022-02-27,38
2022-03-06,38
2022-03-13,54
2022-03-20,51
2022-03-27,49
2022-04-03,46
2022-04-10,45
2022-04-17,30
2022-04-24,32
2022-05-01,27
2022-05-08,31
2022-05-15,35
2022-05-22,38
2022-05-29,39
2022-06-05,67
2022-06-12,38
2022-06-19,39
2022-06-26,34
2022-07-03,40
2022-07-10,43
2022-07-17,34
2022-07-24,36
2022-07-31,40
2022-08-07,38
2022-08-14,36
2022-08-21,34
2022-08-28,37
2022-09-04,39
2022-09-11,33
2022-09-18,28
2022-09-25,24
2022-10-02,27
2022-10-09,30
2022-10-16,25
2022-10-23,29
2022-10-30,31
2022-11-06,24
2022-11-13,34
2022-11-20,29
2022-11-27,35
2022-12-04,100
2022-12-11,34
2022-12-18,38
2022-12-25,37
2023-01-01,52
2023-01-08,51
2023-01-15,29
2023-01-22,38
2023-01-29,36
2023-02-05,33
2023-02-12,31
2023-02-19,38
2023-02-26,38
2023-03-05,33
2023-03-12,37
2023-03-19,27
2023-03-26,35
2023-04-02,32
2023-04-09,32
2023-04-16,27
2023-04-23,31
2023-04-30,34
2023-05-07,29
2023-05-14,26
2023-05-21,32
2023-05-28,25
2023-06-04,23
2023-06-11,28
2023-06-18,29
2023-06-25,28
2023-07-02,29
2023-07-09,29
2023-07-16,26
2023-07-23,32
