Category: All categories

Week,Kyrylivka: (Worldwide)
2022-02-20,74
2022-02-27,30
2022-03-06,31
2022-03-13,27
2022-03-20,51
2022-03-27,29
2022-04-03,29
2022-04-10,31
2022-04-17,100
2022-04-24,33
2022-05-01,31
2022-05-08,32
2022-05-15,41
2022-05-22,60
2022-05-29,37
2022-06-05,63
2022-06-12,48
2022-06-19,62
2022-06-26,57
2022-07-03,54
2022-07-10,34
2022-07-17,43
2022-07-24,40
2022-07-31,27
2022-08-07,59
2022-08-14,36
2022-08-21,26
2022-08-28,18
2022-09-04,14
2022-09-11,15
2022-09-18,17
2022-09-25,18
2022-10-02,15
2022-10-09,17
2022-10-16,14
2022-10-23,11
2022-10-30,15
2022-11-06,13
2022-11-13,12
2022-11-20,10
2022-11-27,10
2022-12-04,9
2022-12-11,9
2022-12-18,11
2022-12-25,14
2023-01-01,15
2023-01-08,20
2023-01-15,12
2023-01-22,27
2023-01-29,16
2023-02-05,16
2023-02-12,15
2023-02-19,17
2023-02-26,14
2023-03-05,12
2023-03-12,12
2023-03-19,13
2023-03-26,12
2023-04-02,14
2023-04-09,14
2023-04-16,18
2023-04-23,17
2023-04-30,15
2023-05-07,15
2023-05-14,20
2023-05-21,20
2023-05-28,19
2023-06-04,23
2023-06-11,21
2023-06-18,23
2023-06-25,27
2023-07-02,34
2023-07-09,24
2023-07-16,27
2023-07-23,33
