Category: All categories

Week,Ladyzhyn: (Worldwide)
2022-02-20,38
2022-02-27,41
2022-03-06,45
2022-03-13,41
2022-03-20,42
2022-03-27,43
2022-04-03,43
2022-04-10,51
2022-04-17,54
2022-04-24,50
2022-05-01,41
2022-05-08,52
2022-05-15,61
2022-05-22,53
2022-05-29,54
2022-06-05,52
2022-06-12,55
2022-06-19,57
2022-06-26,51
2022-07-03,61
2022-07-10,55
2022-07-17,45
2022-07-24,50
2022-07-31,58
2022-08-07,58
2022-08-14,56
2022-08-21,41
2022-08-28,50
2022-09-04,44
2022-09-11,45
2022-09-18,55
2022-09-25,44
2022-10-02,41
2022-10-09,100
2022-10-16,55
2022-10-23,43
2022-10-30,38
2022-11-06,41
2022-11-13,46
2022-11-20,43
2022-11-27,64
2022-12-04,38
2022-12-11,37
2022-12-18,40
2022-12-25,32
2023-01-01,38
2023-01-08,52
2023-01-15,48
2023-01-22,40
2023-01-29,41
2023-02-05,41
2023-02-12,38
2023-02-19,39
2023-02-26,45
2023-03-05,43
2023-03-12,44
2023-03-19,44
2023-03-26,56
2023-04-02,56
2023-04-09,53
2023-04-16,55
2023-04-23,52
2023-04-30,45
2023-05-07,49
2023-05-14,40
2023-05-21,49
2023-05-28,37
2023-06-04,45
2023-06-11,49
2023-06-18,47
2023-06-25,52
2023-07-02,52
2023-07-09,50
2023-07-16,49
2023-07-23,26
