Category: All categories

Week,Lazurne: (Worldwide)
2022-02-20,26
2022-02-27,11
2022-03-06,16
2022-03-13,16
2022-03-20,14
2022-03-27,14
2022-04-03,15
2022-04-10,14
2022-04-17,14
2022-04-24,21
2022-05-01,16
2022-05-08,18
2022-05-15,19
2022-05-22,19
2022-05-29,27
2022-06-05,35
2022-06-12,19
2022-06-19,16
2022-06-26,15
2022-07-03,22
2022-07-10,21
2022-07-17,100
2022-07-24,21
2022-07-31,16
2022-08-07,17
2022-08-14,13
2022-08-21,10
2022-08-28,11
2022-09-04,12
2022-09-11,17
2022-09-18,9
2022-09-25,9
2022-10-02,10
2022-10-09,12
2022-10-16,9
2022-10-23,8
2022-10-30,6
2022-11-06,12
2022-11-13,12
2022-11-20,7
2022-11-27,9
2022-12-04,7
2022-12-11,16
2022-12-18,10
2022-12-25,9
2023-01-01,8
2023-01-08,9
2023-01-15,5
2023-01-22,12
2023-01-29,8
2023-02-05,8
2023-02-12,7
2023-02-19,9
2023-02-26,10
2023-03-05,13
2023-03-12,12
2023-03-19,9
2023-03-26,10
2023-04-02,8
2023-04-09,8
2023-04-16,13
2023-04-23,12
2023-04-30,8
2023-05-07,15
2023-05-14,7
2023-05-21,14
2023-05-28,11
2023-06-04,22
2023-06-11,18
2023-06-18,19
2023-06-25,11
2023-07-02,12
2023-07-09,6
2023-07-16,14
2023-07-23,7
