Category: All categories

Week,Lebedyn: (Worldwide)
2022-02-20,50
2022-02-27,100
2022-03-06,53
2022-03-13,26
2022-03-20,28
2022-03-27,29
2022-04-03,27
2022-04-10,30
2022-04-17,36
2022-04-24,31
2022-05-01,24
2022-05-08,32
2022-05-15,35
2022-05-22,33
2022-05-29,36
2022-06-05,24
2022-06-12,32
2022-06-19,36
2022-06-26,25
2022-07-03,31
2022-07-10,36
2022-07-17,37
2022-07-24,32
2022-07-31,36
2022-08-07,31
2022-08-14,31
2022-08-21,25
2022-08-28,33
2022-09-04,34
2022-09-11,36
2022-09-18,34
2022-09-25,26
2022-10-02,32
2022-10-09,26
2022-10-16,29
2022-10-23,27
2022-10-30,30
2022-11-06,25
2022-11-13,30
2022-11-20,31
2022-11-27,30
2022-12-04,31
2022-12-11,29
2022-12-18,30
2022-12-25,28
2023-01-01,31
2023-01-08,32
2023-01-15,30
2023-01-22,26
2023-01-29,30
2023-02-05,24
2023-02-12,28
2023-02-19,30
2023-02-26,32
2023-03-05,30
2023-03-12,33
2023-03-19,31
2023-03-26,31
2023-04-02,34
2023-04-09,37
2023-04-16,34
2023-04-23,37
2023-04-30,32
2023-05-07,29
2023-05-14,27
2023-05-21,40
2023-05-28,26
2023-06-04,35
2023-06-11,34
2023-06-18,36
2023-06-25,40
2023-07-02,38
2023-07-09,34
2023-07-16,35
2023-07-23,34
