Category: All categories

Week,Lozova: (Worldwide)
2022-02-20,54
2022-02-27,86
2022-03-06,54
2022-03-13,48
2022-03-20,76
2022-03-27,61
2022-04-03,100
2022-04-10,90
2022-04-17,57
2022-04-24,48
2022-05-01,37
2022-05-08,44
2022-05-15,89
2022-05-22,51
2022-05-29,41
2022-06-05,39
2022-06-12,43
2022-06-19,41
2022-06-26,37
2022-07-03,42
2022-07-10,47
2022-07-17,43
2022-07-24,40
2022-07-31,48
2022-08-07,42
2022-08-14,44
2022-08-21,34
2022-08-28,42
2022-09-04,40
2022-09-11,51
2022-09-18,41
2022-09-25,46
2022-10-02,40
2022-10-09,38
2022-10-16,37
2022-10-23,40
2022-10-30,36
2022-11-06,34
2022-11-13,37
2022-11-20,34
2022-11-27,34
2022-12-04,37
2022-12-11,39
2022-12-18,36
2022-12-25,37
2023-01-01,38
2023-01-08,35
2023-01-15,35
2023-01-22,33
2023-01-29,34
2023-02-05,38
2023-02-12,38
2023-02-19,36
2023-02-26,34
2023-03-05,38
2023-03-12,39
2023-03-19,36
2023-03-26,49
2023-04-02,45
2023-04-09,46
2023-04-16,47
2023-04-23,50
2023-04-30,40
2023-05-07,40
2023-05-14,38
2023-05-21,47
2023-05-28,41
2023-06-04,39
2023-06-11,45
2023-06-18,41
2023-06-25,47
2023-07-02,41
2023-07-09,48
2023-07-16,44
2023-07-23,46
