Category: All categories

Week,Lozove: (Worldwide)
2022-02-20,0
2022-02-27,0
2022-03-06,5
2022-03-13,16
2022-03-20,10
2022-03-27,0
2022-04-03,9
2022-04-10,29
2022-04-17,76
2022-04-24,27
2022-05-01,11
2022-05-08,11
2022-05-15,25
2022-05-22,24
2022-05-29,40
2022-06-05,22
2022-06-12,12
2022-06-19,16
2022-06-26,7
2022-07-03,24
2022-07-10,21
2022-07-17,10
2022-07-24,100
2022-07-31,24
2022-08-07,11
2022-08-14,12
2022-08-21,7
2022-08-28,10
2022-09-04,12
2022-09-11,9
2022-09-18,27
2022-09-25,49
2022-10-02,0
2022-10-09,0
2022-10-16,23
2022-10-23,0
2022-10-30,7
2022-11-06,15
2022-11-13,9
2022-11-20,5
2022-11-27,8
2022-12-04,0
2022-12-11,5
2022-12-18,15
2022-12-25,12
2023-01-01,15
2023-01-08,4
2023-01-15,0
2023-01-22,9
2023-01-29,5
2023-02-05,0
2023-02-12,0
2023-02-19,15
2023-02-26,0
2023-03-05,9
2023-03-12,4
2023-03-19,9
2023-03-26,14
2023-04-02,20
2023-04-09,0
2023-04-16,6
2023-04-23,13
2023-04-30,10
2023-05-07,0
2023-05-14,8
2023-05-21,19
2023-05-28,8
2023-06-04,9
2023-06-11,16
2023-06-18,0
2023-06-25,7
2023-07-02,0
2023-07-09,0
2023-07-16,0
