Category: All categories

Week,lubny: (Worldwide)
2022-02-20,56
2022-02-27,100
2022-03-06,77
2022-03-13,35
2022-03-20,53
2022-03-27,18
2022-04-03,10
2022-04-10,14
2022-04-17,16
2022-04-24,13
2022-05-01,12
2022-05-08,10
2022-05-15,14
2022-05-22,0
2022-05-29,39
2022-06-05,24
2022-06-12,15
2022-06-19,0
2022-06-26,0
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,29
2022-07-31,9
2022-08-07,0
2022-08-14,21
2022-08-21,0
2022-08-28,46
2022-09-04,0
2022-09-11,10
2022-09-18,0
2022-09-25,11
2022-10-02,20
2022-10-09,0
2022-10-16,14
2022-10-23,0
2022-10-30,0
2022-11-06,32
2022-11-13,14
2022-11-20,14
2022-11-27,15
2022-12-04,18
2022-12-11,0
2022-12-18,26
2022-12-25,0
2023-01-01,12
2023-01-08,17
2023-01-15,22
2023-01-22,21
2023-01-29,11
2023-02-05,15
2023-02-12,9
2023-02-19,0
2023-02-26,17
2023-03-05,15
2023-03-12,29
2023-03-19,0
2023-03-26,9
2023-04-02,0
2023-04-09,24
2023-04-16,13
2023-04-23,0
2023-04-30,20
2023-05-07,9
2023-05-14,0
2023-05-21,0
2023-05-28,28
2023-06-04,13
2023-06-11,0
2023-06-18,0
2023-06-25,30
2023-07-02,0
2023-07-09,11
2023-07-16,24
