Category: All categories

Week,luhansk: (Worldwide)
2022-02-20,100
2022-02-27,21
2022-03-06,13
2022-03-13,8
2022-03-20,7
2022-03-27,8
2022-04-03,8
2022-04-10,6
2022-04-17,7
2022-04-24,4
2022-05-01,4
2022-05-08,6
2022-05-15,6
2022-05-22,7
2022-05-29,6
2022-06-05,5
2022-06-12,4
2022-06-19,5
2022-06-26,4
2022-07-03,13
2022-07-10,4
2022-07-17,3
2022-07-24,2
2022-07-31,4
2022-08-07,3
2022-08-14,2
2022-08-21,3
2022-08-28,2
2022-09-04,3
2022-09-11,8
2022-09-18,11
2022-09-25,11
2022-10-02,9
2022-10-09,5
2022-10-16,4
2022-10-23,4
2022-10-30,3
2022-11-06,4
2022-11-13,6
2022-11-20,3
2022-11-27,6
2022-12-04,2
2022-12-11,3
2022-12-18,2
2022-12-25,3
2023-01-01,3
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,2
2023-02-26,2
2023-03-05,2
2023-03-12,2
2023-03-19,1
2023-03-26,1
2023-04-02,2
2023-04-09,1
2023-04-16,2
2023-04-23,2
2023-04-30,3
2023-05-07,6
2023-05-14,3
2023-05-21,2
2023-05-28,2
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,2
2023-07-02,1
2023-07-09,2
2023-07-16,1
