Category: All categories

Week,Lupareve: (Worldwide)
2022-02-20,40
2022-02-27,100
2022-03-06,79
2022-03-13,31
2022-03-20,63
2022-03-27,25
2022-04-03,69
2022-04-10,49
2022-04-17,26
2022-04-24,15
2022-05-01,9
2022-05-08,12
2022-05-15,37
2022-05-22,23
2022-05-29,10
2022-06-05,22
2022-06-12,0
2022-06-19,69
2022-06-26,23
2022-07-03,18
2022-07-10,10
2022-07-17,0
2022-07-24,0
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,31
2022-08-28,28
2022-09-04,27
2022-09-11,18
2022-09-18,17
2022-09-25,16
2022-10-02,8
2022-10-09,0
2022-10-16,11
2022-10-23,0
2022-10-30,10
2022-11-06,8
2022-11-13,9
2022-11-20,9
2022-11-27,30
2022-12-04,15
2022-12-11,15
2022-12-18,31
2022-12-25,41
2023-01-01,22
2023-01-08,0
2023-01-15,0
2023-01-22,8
2023-01-29,0
2023-02-05,0
2023-02-12,0
2023-02-19,20
2023-02-26,17
2023-03-05,9
2023-03-12,21
2023-03-19,0
2023-03-26,25
2023-04-02,19
2023-04-09,33
2023-04-16,39
2023-04-23,29
2023-04-30,26
2023-05-07,29
2023-05-14,27
2023-05-21,35
2023-05-28,21
2023-06-04,13
2023-06-11,17
2023-06-18,36
2023-06-25,34
2023-07-02,10
2023-07-09,16
2023-07-16,37
2023-07-23,0
