Category: All categories

Week,lutsk: (Worldwide)
2022-02-20,40
2022-02-27,25
2022-03-06,100
2022-03-13,21
2022-03-20,12
2022-03-27,16
2022-04-03,8
2022-04-10,6
2022-04-17,5
2022-04-24,7
2022-05-01,6
2022-05-08,6
2022-05-15,3
2022-05-22,7
2022-05-29,6
2022-06-05,5
2022-06-12,6
2022-06-19,6
2022-06-26,4
2022-07-03,5
2022-07-10,5
2022-07-17,5
2022-07-24,7
2022-07-31,5
2022-08-07,6
2022-08-14,4
2022-08-21,5
2022-08-28,4
2022-09-04,5
2022-09-11,5
2022-09-18,6
2022-09-25,5
2022-10-02,4
2022-10-09,5
2022-10-16,6
2022-10-23,6
2022-10-30,5
2022-11-06,4
2022-11-13,5
2022-11-20,4
2022-11-27,4
2022-12-04,6
2022-12-11,5
2022-12-18,4
2022-12-25,5
2023-01-01,4
2023-01-08,6
2023-01-15,5
2023-01-22,4
2023-01-29,4
2023-02-05,6
2023-02-12,4
2023-02-19,4
2023-02-26,4
2023-03-05,4
2023-03-12,4
2023-03-19,5
2023-03-26,4
2023-04-02,4
2023-04-09,4
2023-04-16,4
2023-04-23,4
2023-04-30,4
2023-05-07,4
2023-05-14,4
2023-05-21,3
2023-05-28,4
2023-06-04,5
2023-06-11,4
2023-06-18,4
2023-06-25,4
2023-07-02,5
2023-07-09,9
2023-07-16,4
