Category: All categories

Week,lviv: (Worldwide)
2022-02-20,94
2022-02-27,100
2022-03-06,57
2022-03-13,66
2022-03-20,41
2022-03-27,29
2022-04-03,19
2022-04-10,19
2022-04-17,28
2022-04-24,16
2022-05-01,20
2022-05-08,13
2022-05-15,16
2022-05-22,12
2022-05-29,13
2022-06-05,11
2022-06-12,11
2022-06-19,11
2022-06-26,12
2022-07-03,11
2022-07-10,11
2022-07-17,11
2022-07-24,11
2022-07-31,11
2022-08-07,11
2022-08-14,14
2022-08-21,15
2022-08-28,12
2022-09-04,11
2022-09-11,14
2022-09-18,12
2022-09-25,13
2022-10-02,13
2022-10-09,19
2022-10-16,14
2022-10-23,14
2022-10-30,15
2022-11-06,15
2022-11-13,23
2022-11-20,16
2022-11-27,14
2022-12-04,14
2022-12-11,11
2022-12-18,11
2022-12-25,13
2023-01-01,11
2023-01-08,11
2023-01-15,11
2023-01-22,10
2023-01-29,11
2023-02-05,12
2023-02-12,11
2023-02-19,11
2023-02-26,12
2023-03-05,15
2023-03-12,11
2023-03-19,13
2023-03-26,11
2023-04-02,13
2023-04-09,18
2023-04-16,13
2023-04-23,14
2023-04-30,14
2023-05-07,12
2023-05-14,12
2023-05-21,15
2023-05-28,13
2023-06-04,11
2023-06-11,11
2023-06-18,11
2023-06-25,11
2023-07-02,22
2023-07-09,13
2023-07-16,12
