Category: All categories

Week,lyman: (Worldwide)
2022-02-20,11
2022-02-27,11
2022-03-06,12
2022-03-13,10
2022-03-20,12
2022-03-27,11
2022-04-03,12
2022-04-10,11
2022-04-17,13
2022-04-24,13
2022-05-01,12
2022-05-08,12
2022-05-15,14
2022-05-22,19
2022-05-29,12
2022-06-05,11
2022-06-12,12
2022-06-19,11
2022-06-26,11
2022-07-03,12
2022-07-10,12
2022-07-17,13
2022-07-24,12
2022-07-31,12
2022-08-07,12
2022-08-14,12
2022-08-21,12
2022-08-28,12
2022-09-04,14
2022-09-11,18
2022-09-18,21
2022-09-25,100
2022-10-02,55
2022-10-09,14
2022-10-16,14
2022-10-23,11
2022-10-30,11
2022-11-06,11
2022-11-13,10
2022-11-20,9
2022-11-27,10
2022-12-04,10
2022-12-11,10
2022-12-18,9
2022-12-25,9
2023-01-01,11
2023-01-08,10
2023-01-15,10
2023-01-22,11
2023-01-29,11
2023-02-05,11
2023-02-12,11
2023-02-19,10
2023-02-26,11
2023-03-05,11
2023-03-12,10
2023-03-19,11
2023-03-26,10
2023-04-02,10
2023-04-09,11
2023-04-16,10
2023-04-23,10
2023-04-30,11
2023-05-07,10
2023-05-14,10
2023-05-21,10
2023-05-28,10
2023-06-04,14
2023-06-11,11
2023-06-18,11
2023-06-25,12
2023-07-02,13
2023-07-09,11
2023-07-16,15
