Category: All categories

Week,Lypovets': (Worldwide)
2022-02-20,71
2022-02-27,48
2022-03-06,52
2022-03-13,73
2022-03-20,63
2022-03-27,82
2022-04-03,79
2022-04-10,89
2022-04-17,79
2022-04-24,80
2022-05-01,71
2022-05-08,78
2022-05-15,90
2022-05-22,76
2022-05-29,86
2022-06-05,64
2022-06-12,81
2022-06-19,85
2022-06-26,76
2022-07-03,71
2022-07-10,87
2022-07-17,44
2022-07-24,71
2022-07-31,80
2022-08-07,77
2022-08-14,81
2022-08-21,55
2022-08-28,51
2022-09-04,71
2022-09-11,71
2022-09-18,79
2022-09-25,80
2022-10-02,56
2022-10-09,47
2022-10-16,64
2022-10-23,63
2022-10-30,61
2022-11-06,60
2022-11-13,80
2022-11-20,54
2022-11-27,50
2022-12-04,44
2022-12-11,51
2022-12-18,52
2022-12-25,64
2023-01-01,65
2023-01-08,43
2023-01-15,57
2023-01-22,44
2023-01-29,61
2023-02-05,72
2023-02-12,62
2023-02-19,72
2023-02-26,59
2023-03-05,64
2023-03-12,55
2023-03-19,72
2023-03-26,95
2023-04-02,82
2023-04-09,92
2023-04-16,100
2023-04-23,81
2023-04-30,87
2023-05-07,67
2023-05-14,76
2023-05-21,67
2023-05-28,72
2023-06-04,59
2023-06-11,73
2023-06-18,97
2023-06-25,84
2023-07-02,85
2023-07-09,75
2023-07-16,72
