Category: All categories

Week,lysychansk: (Worldwide)
2022-02-20,0
2022-02-27,3
2022-03-06,2
2022-03-13,1
2022-03-20,2
2022-03-27,4
2022-04-03,2
2022-04-10,4
2022-04-17,3
2022-04-24,5
2022-05-01,4
2022-05-08,9
2022-05-15,6
2022-05-22,14
2022-05-29,14
2022-06-05,12
2022-06-12,13
2022-06-19,36
2022-06-26,100
2022-07-03,97
2022-07-10,5
2022-07-17,2
2022-07-24,4
2022-07-31,2
2022-08-07,1
2022-08-14,4
2022-08-21,2
2022-08-28,1
2022-09-04,30
2022-09-11,23
2022-09-18,31
2022-09-25,5
2022-10-02,13
2022-10-09,3
2022-10-16,3
2022-10-23,1
2022-10-30,1
2022-11-06,2
2022-11-13,1
2022-11-20,1
2022-11-27,1
2022-12-04,1
2022-12-11,1
2022-12-18,<1
2022-12-25,3
2023-01-01,1
2023-01-08,2
2023-01-15,1
2023-01-22,1
2023-01-29,1
2023-02-05,1
2023-02-12,2
2023-02-19,1
2023-02-26,1
2023-03-05,2
2023-03-12,0
2023-03-19,<1
2023-03-26,0
2023-04-02,1
2023-04-09,1
2023-04-16,0
2023-04-23,1
2023-04-30,1
2023-05-07,1
2023-05-14,0
2023-05-21,1
2023-05-28,0
2023-06-04,<1
2023-06-11,0
2023-06-18,1
2023-06-25,1
2023-07-02,1
2023-07-09,<1
2023-07-16,1
