Category: All categories

Week,Lyubotyn: (Worldwide)
2022-02-20,86
2022-02-27,83
2022-03-06,77
2022-03-13,49
2022-03-20,56
2022-03-27,90
2022-04-03,60
2022-04-10,65
2022-04-17,65
2022-04-24,64
2022-05-01,68
2022-05-08,80
2022-05-15,69
2022-05-22,100
2022-05-29,82
2022-06-05,56
2022-06-12,74
2022-06-19,84
2022-06-26,61
2022-07-03,70
2022-07-10,68
2022-07-17,79
2022-07-24,75
2022-07-31,67
2022-08-07,63
2022-08-14,76
2022-08-21,59
2022-08-28,72
2022-09-04,62
2022-09-11,67
2022-09-18,63
2022-09-25,65
2022-10-02,62
2022-10-09,53
2022-10-16,56
2022-10-23,66
2022-10-30,59
2022-11-06,49
2022-11-13,52
2022-11-20,41
2022-11-27,50
2022-12-04,49
2022-12-11,59
2022-12-18,53
2022-12-25,56
2023-01-01,56
2023-01-08,52
2023-01-15,54
2023-01-22,41
2023-01-29,49
2023-02-05,42
2023-02-12,55
2023-02-19,65
2023-02-26,56
2023-03-05,56
2023-03-12,57
2023-03-19,64
2023-03-26,62
2023-04-02,67
2023-04-09,58
2023-04-16,68
2023-04-23,73
2023-04-30,69
2023-05-07,60
2023-05-14,63
2023-05-21,69
2023-05-28,64
2023-06-04,60
2023-06-11,74
2023-06-18,63
2023-06-25,69
2023-07-02,77
2023-07-09,67
2023-07-16,63
2023-07-23,60
