Category: All categories

Week,Mala Bilozerka: (Worldwide)
2022-02-20,57
2022-02-27,51
2022-03-06,41
2022-03-13,27
2022-03-20,34
2022-03-27,84
2022-04-03,58
2022-04-10,79
2022-04-17,64
2022-04-24,61
2022-05-01,77
2022-05-08,58
2022-05-15,67
2022-05-22,91
2022-05-29,61
2022-06-05,39
2022-06-12,65
2022-06-19,100
2022-06-26,77
2022-07-03,83
2022-07-10,0
2022-07-17,0
2022-07-24,0
2022-07-31,24
2022-08-07,0
2022-08-14,21
2022-08-21,9
2022-08-28,37
2022-09-04,0
2022-09-11,36
2022-09-18,38
2022-09-25,27
2022-10-02,16
2022-10-09,26
2022-10-16,33
2022-10-23,31
2022-10-30,35
2022-11-06,14
2022-11-13,60
2022-11-20,43
2022-11-27,44
2022-12-04,83
2022-12-11,41
2022-12-18,26
2022-12-25,0
2023-01-01,35
2023-01-08,59
2023-01-15,39
2023-01-22,20
2023-01-29,24
2023-02-05,20
2023-02-12,37
2023-02-19,34
2023-02-26,26
2023-03-05,30
2023-03-12,24
2023-03-19,39
2023-03-26,31
2023-04-02,39
2023-04-09,21
2023-04-16,28
2023-04-23,65
2023-04-30,37
2023-05-07,52
2023-05-14,52
2023-05-21,50
2023-05-28,49
2023-06-04,46
2023-06-11,32
2023-06-18,38
2023-06-25,11
2023-07-02,15
2023-07-09,73
2023-07-16,39
2023-07-23,55
