Category: All categories

Week,Mala Tokmachka: (Worldwide)
2022-02-20,5
2022-02-27,9
2022-03-06,8
2022-03-13,10
2022-03-20,4
2022-03-27,10
2022-04-03,32
2022-04-10,7
2022-04-17,3
2022-04-24,9
2022-05-01,6
2022-05-08,5
2022-05-15,8
2022-05-22,6
2022-05-29,5
2022-06-05,12
2022-06-12,0
2022-06-19,7
2022-06-26,7
2022-07-03,4
2022-07-10,6
2022-07-17,4
2022-07-24,6
2022-07-31,7
2022-08-07,10
2022-08-14,0
2022-08-21,3
2022-08-28,7
2022-09-04,26
2022-09-11,3
2022-09-18,0
2022-09-25,0
2022-10-02,8
2022-10-09,2
2022-10-16,9
2022-10-23,0
2022-10-30,5
2022-11-06,0
2022-11-13,2
2022-11-20,3
2022-11-27,2
2022-12-04,0
2022-12-11,0
2022-12-18,6
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,13
2023-01-22,6
2023-01-29,0
2023-02-05,0
2023-02-12,5
2023-02-19,0
2023-02-26,3
2023-03-05,0
2023-03-12,7
2023-03-19,9
2023-03-26,0
2023-04-02,5
2023-04-09,0
2023-04-16,10
2023-04-23,4
2023-04-30,9
2023-05-07,4
2023-05-14,3
2023-05-21,8
2023-05-28,0
2023-06-04,91
2023-06-11,100
2023-06-18,31
2023-06-25,69
2023-07-02,26
2023-07-09,24
2023-07-16,21
2023-07-23,35
