Category: All categories

Week,Mar'inka: (Worldwide)
2022-02-20,8
2022-02-27,4
2022-03-06,4
2022-03-13,12
2022-03-20,14
2022-03-27,12
2022-04-03,9
2022-04-10,8
2022-04-17,36
2022-04-24,9
2022-05-01,8
2022-05-08,6
2022-05-15,5
2022-05-22,5
2022-05-29,4
2022-06-05,4
2022-06-12,3
2022-06-19,4
2022-06-26,3
2022-07-03,4
2022-07-10,6
2022-07-17,4
2022-07-24,5
2022-07-31,9
2022-08-07,7
2022-08-14,9
2022-08-21,10
2022-08-28,5
2022-09-04,3
2022-09-11,8
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,2
2022-10-16,2
2022-10-23,3
2022-10-30,6
2022-11-06,5
2022-11-13,4
2022-11-20,10
2022-11-27,9
2022-12-04,5
2022-12-11,15
2022-12-18,12
2022-12-25,7
2023-01-01,6
2023-01-08,7
2023-01-15,16
2023-01-22,9
2023-01-29,8
2023-02-05,10
2023-02-12,8
2023-02-19,8
2023-02-26,27
2023-03-05,100
2023-03-12,13
2023-03-19,9
2023-03-26,8
2023-04-02,9
2023-04-09,11
2023-04-16,7
2023-04-23,10
2023-04-30,11
2023-05-07,10
2023-05-14,10
2023-05-21,7
2023-05-28,18
2023-06-04,12
2023-06-11,10
2023-06-18,8
2023-06-25,7
2023-07-02,6
2023-07-09,5
2023-07-16,6
2023-07-23,4
