Category: All categories

Week,mariupol: (Worldwide)
2022-02-20,31
2022-02-27,42
2022-03-06,66
2022-03-13,70
2022-03-20,96
2022-03-27,54
2022-04-03,39
2022-04-10,65
2022-04-17,100
2022-04-24,33
2022-05-01,36
2022-05-08,26
2022-05-15,37
2022-05-22,11
2022-05-29,7
2022-06-05,6
2022-06-12,5
2022-06-19,3
2022-06-26,3
2022-07-03,3
2022-07-10,2
2022-07-17,2
2022-07-24,2
2022-07-31,2
2022-08-07,2
2022-08-14,2
2022-08-21,3
2022-08-28,3
2022-09-04,2
2022-09-11,3
2022-09-18,3
2022-09-25,3
2022-10-02,3
2022-10-09,2
2022-10-16,2
2022-10-23,2
2022-10-30,2
2022-11-06,3
2022-11-13,3
2022-11-20,2
2022-11-27,2
2022-12-04,2
2022-12-11,2
2022-12-18,3
2022-12-25,3
2023-01-01,2
2023-01-08,2
2023-01-15,2
2023-01-22,2
2023-01-29,2
2023-02-05,2
2023-02-12,2
2023-02-19,5
2023-02-26,4
2023-03-05,3
2023-03-12,2
2023-03-19,13
2023-03-26,2
2023-04-02,1
2023-04-09,1
2023-04-16,2
2023-04-23,3
2023-04-30,2
2023-05-07,2
2023-05-14,2
2023-05-21,2
2023-05-28,1
2023-06-04,2
2023-06-11,2
2023-06-18,2
2023-06-25,1
2023-07-02,2
2023-07-09,2
2023-07-16,2
