Category: All categories

Week,melitopol: (Worldwide)
2022-02-20,100
2022-02-27,45
2022-03-06,44
2022-03-13,44
2022-03-20,11
2022-03-27,12
2022-04-03,6
2022-04-10,7
2022-04-17,9
2022-04-24,6
2022-05-01,10
2022-05-08,5
2022-05-15,11
2022-05-22,5
2022-05-29,7
2022-06-05,8
2022-06-12,3
2022-06-19,4
2022-06-26,2
2022-07-03,16
2022-07-10,3
2022-07-17,2
2022-07-24,4
2022-07-31,2
2022-08-07,6
2022-08-14,6
2022-08-21,2
2022-08-28,7
2022-09-04,6
2022-09-11,21
2022-09-18,8
2022-09-25,5
2022-10-02,7
2022-10-09,6
2022-10-16,3
2022-10-23,5
2022-10-30,4
2022-11-06,7
2022-11-13,15
2022-11-20,6
2022-11-27,4
2022-12-04,5
2022-12-11,68
2022-12-18,9
2022-12-25,5
2023-01-01,5
2023-01-08,4
2023-01-15,3
2023-01-22,2
2023-01-29,4
2023-02-05,3
2023-02-12,2
2023-02-19,3
2023-02-26,3
2023-03-05,9
2023-03-12,3
2023-03-19,3
2023-03-26,13
2023-04-02,8
2023-04-09,4
2023-04-16,3
2023-04-23,5
2023-04-30,5
2023-05-07,6
2023-05-14,3
2023-05-21,3
2023-05-28,3
2023-06-04,6
2023-06-11,7
2023-06-18,5
2023-06-25,4
2023-07-02,2
2023-07-09,5
2023-07-16,2
