Category: All categories

Week,Mezhova: (Worldwide)
2022-02-20,43
2022-02-27,55
2022-03-06,54
2022-03-13,68
2022-03-20,58
2022-03-27,62
2022-04-03,95
2022-04-10,96
2022-04-17,89
2022-04-24,85
2022-05-01,91
2022-05-08,71
2022-05-15,63
2022-05-22,93
2022-05-29,79
2022-06-05,68
2022-06-12,86
2022-06-19,75
2022-06-26,75
2022-07-03,85
2022-07-10,81
2022-07-17,87
2022-07-24,62
2022-07-31,67
2022-08-07,75
2022-08-14,84
2022-08-21,66
2022-08-28,65
2022-09-04,65
2022-09-11,68
2022-09-18,75
2022-09-25,75
2022-10-02,66
2022-10-09,65
2022-10-16,65
2022-10-23,74
2022-10-30,58
2022-11-06,62
2022-11-13,82
2022-11-20,53
2022-11-27,56
2022-12-04,64
2022-12-11,63
2022-12-18,86
2022-12-25,72
2023-01-01,70
2023-01-08,68
2023-01-15,59
2023-01-22,44
2023-01-29,55
2023-02-05,62
2023-02-12,77
2023-02-19,57
2023-02-26,64
2023-03-05,69
2023-03-12,65
2023-03-19,71
2023-03-26,81
2023-04-02,90
2023-04-09,92
2023-04-16,99
2023-04-23,75
2023-04-30,62
2023-05-07,76
2023-05-14,79
2023-05-21,100
2023-05-28,84
2023-06-04,74
2023-06-11,92
2023-06-18,51
2023-06-25,74
2023-07-02,75
2023-07-09,91
2023-07-16,82
2023-07-23,72
