Category: All categories

Week,Mohyliv-Podil's'kyi: (Worldwide)
2022-02-20,57
2022-02-27,100
2022-03-06,95
2022-03-13,59
2022-03-20,55
2022-03-27,54
2022-04-03,53
2022-04-10,51
2022-04-17,50
2022-04-24,49
2022-05-01,41
2022-05-08,44
2022-05-15,47
2022-05-22,49
2022-05-29,49
2022-06-05,46
2022-06-12,43
2022-06-19,43
2022-06-26,44
2022-07-03,48
2022-07-10,49
2022-07-17,42
2022-07-24,45
2022-07-31,46
2022-08-07,50
2022-08-14,44
2022-08-21,37
2022-08-28,44
2022-09-04,38
2022-09-11,42
2022-09-18,43
2022-09-25,42
2022-10-02,34
2022-10-09,34
2022-10-16,38
2022-10-23,34
2022-10-30,37
2022-11-06,36
2022-11-13,39
2022-11-20,34
2022-11-27,27
2022-12-04,32
2022-12-11,31
2022-12-18,35
2022-12-25,35
2023-01-01,35
2023-01-08,35
2023-01-15,31
2023-01-22,28
2023-01-29,34
2023-02-05,33
2023-02-12,37
2023-02-19,33
2023-02-26,35
2023-03-05,31
2023-03-12,32
2023-03-19,34
2023-03-26,43
2023-04-02,46
2023-04-09,43
2023-04-16,44
2023-04-23,43
2023-04-30,38
2023-05-07,39
2023-05-14,36
2023-05-21,35
2023-05-28,39
2023-06-04,38
2023-06-11,47
2023-06-18,47
2023-06-25,44
2023-07-02,43
2023-07-09,37
2023-07-16,41
2023-07-23,37
