Category: All categories

Week,mykolaiv: (Worldwide)
2022-02-20,41
2022-02-27,100
2022-03-06,90
2022-03-13,76
2022-03-20,50
2022-03-27,43
2022-04-03,37
2022-04-10,31
2022-04-17,32
2022-04-24,20
2022-05-01,17
2022-05-08,15
2022-05-15,12
2022-05-22,15
2022-05-29,16
2022-06-05,15
2022-06-12,17
2022-06-19,19
2022-06-26,19
2022-07-03,13
2022-07-10,21
2022-07-17,14
2022-07-24,14
2022-07-31,36
2022-08-07,11
2022-08-14,11
2022-08-21,12
2022-08-28,18
2022-09-04,10
2022-09-11,11
2022-09-18,12
2022-09-25,9
2022-10-02,12
2022-10-09,11
2022-10-16,16
2022-10-23,14
2022-10-30,9
2022-11-06,20
2022-11-13,11
2022-11-20,11
2022-11-27,5
2022-12-04,4
2022-12-11,7
2022-12-18,5
2022-12-25,5
2023-01-01,5
2023-01-08,5
2023-01-15,4
2023-01-22,4
2023-01-29,6
2023-02-05,7
2023-02-12,6
2023-02-19,7
2023-02-26,6
2023-03-05,5
2023-03-12,5
2023-03-19,5
2023-03-26,5
2023-04-02,5
2023-04-09,5
2023-04-16,4
2023-04-23,7
2023-04-30,5
2023-05-07,4
2023-05-14,5
2023-05-21,4
2023-05-28,5
2023-06-04,7
2023-06-11,6
2023-06-18,5
2023-06-25,5
2023-07-02,4
2023-07-09,5
2023-07-16,8
