Category: All categories

Week,myrne: (Worldwide)
2022-02-20,45
2022-02-27,47
2022-03-06,0
2022-03-13,36
2022-03-20,0
2022-03-27,35
2022-04-03,56
2022-04-10,26
2022-04-17,62
2022-04-24,21
2022-05-01,38
2022-05-08,53
2022-05-15,47
2022-05-22,18
2022-05-29,35
2022-06-05,35
2022-06-12,60
2022-06-19,20
2022-06-26,33
2022-07-03,62
2022-07-10,31
2022-07-17,39
2022-07-24,40
2022-07-31,65
2022-08-07,73
2022-08-14,65
2022-08-21,39
2022-08-28,100
2022-09-04,32
2022-09-11,39
2022-09-18,34
2022-09-25,48
2022-10-02,20
2022-10-09,58
2022-10-16,94
2022-10-23,48
2022-10-30,40
2022-11-06,40
2022-11-13,35
2022-11-20,36
2022-11-27,59
2022-12-04,42
2022-12-11,79
2022-12-18,47
2022-12-25,83
2023-01-01,75
2023-01-08,42
2023-01-15,34
2023-01-22,21
2023-01-29,0
2023-02-05,25
2023-02-12,38
2023-02-19,53
2023-02-26,16
2023-03-05,12
2023-03-12,25
2023-03-19,31
2023-03-26,49
2023-04-02,66
2023-04-09,31
2023-04-16,63
2023-04-23,20
2023-04-30,38
2023-05-07,24
2023-05-14,28
2023-05-21,39
2023-05-28,30
2023-06-04,81
2023-06-11,25
2023-06-18,21
2023-06-25,37
2023-07-02,34
2023-07-09,63
2023-07-16,32
