Category: All categories

Week,Myrnohrad: (Worldwide)
2022-02-20,87
2022-02-27,92
2022-03-06,81
2022-03-13,91
2022-03-20,87
2022-03-27,86
2022-04-03,89
2022-04-10,75
2022-04-17,63
2022-04-24,66
2022-05-01,57
2022-05-08,57
2022-05-15,70
2022-05-22,74
2022-05-29,75
2022-06-05,56
2022-06-12,84
2022-06-19,71
2022-06-26,72
2022-07-03,71
2022-07-10,78
2022-07-17,73
2022-07-24,75
2022-07-31,87
2022-08-07,70
2022-08-14,78
2022-08-21,77
2022-08-28,73
2022-09-04,74
2022-09-11,90
2022-09-18,75
2022-09-25,77
2022-10-02,64
2022-10-09,68
2022-10-16,62
2022-10-23,88
2022-10-30,81
2022-11-06,74
2022-11-13,71
2022-11-20,67
2022-11-27,67
2022-12-04,80
2022-12-11,64
2022-12-18,72
2022-12-25,60
2023-01-01,79
2023-01-08,86
2023-01-15,66
2023-01-22,64
2023-01-29,67
2023-02-05,76
2023-02-12,78
2023-02-19,70
2023-02-26,84
2023-03-05,77
2023-03-12,74
2023-03-19,78
2023-03-26,90
2023-04-02,85
2023-04-09,95
2023-04-16,89
2023-04-23,93
2023-04-30,87
2023-05-07,81
2023-05-14,70
2023-05-21,79
2023-05-28,86
2023-06-04,78
2023-06-11,91
2023-06-18,69
2023-06-25,88
2023-07-02,84
2023-07-09,100
2023-07-16,82
2023-07-23,85
