Category: All categories

Week,nikopol: (Worldwide)
2022-02-20,61
2022-02-27,91
2022-03-06,43
2022-03-13,57
2022-03-20,31
2022-03-27,29
2022-04-03,36
2022-04-10,27
2022-04-17,30
2022-04-24,34
2022-05-01,17
2022-05-08,13
2022-05-15,18
2022-05-22,20
2022-05-29,20
2022-06-05,25
2022-06-12,27
2022-06-19,18
2022-06-26,21
2022-07-03,27
2022-07-10,49
2022-07-17,100
2022-07-24,41
2022-07-31,66
2022-08-07,79
2022-08-14,54
2022-08-21,45
2022-08-28,37
2022-09-04,35
2022-09-11,35
2022-09-18,24
2022-09-25,20
2022-10-02,45
2022-10-09,92
2022-10-16,55
2022-10-23,37
2022-10-30,24
2022-11-06,40
2022-11-13,55
2022-11-20,26
2022-11-27,24
2022-12-04,22
2022-12-11,18
2022-12-18,24
2022-12-25,24
2023-01-01,26
2023-01-08,23
2023-01-15,13
2023-01-22,17
2023-01-29,22
2023-02-05,14
2023-02-12,24
2023-02-19,28
2023-02-26,33
2023-03-05,18
2023-03-12,15
2023-03-19,25
2023-03-26,17
2023-04-02,21
2023-04-09,13
2023-04-16,18
2023-04-23,12
2023-04-30,19
2023-05-07,24
2023-05-14,21
2023-05-21,18
2023-05-28,15
2023-06-04,28
2023-06-11,34
2023-06-18,33
2023-06-25,25
2023-07-02,26
2023-07-09,27
2023-07-16,22
