Category: All categories

Week,nizhyn: (Worldwide)
2022-02-20,64
2022-02-27,100
2022-03-06,47
2022-03-13,46
2022-03-20,42
2022-03-27,42
2022-04-03,35
2022-04-10,15
2022-04-17,20
2022-04-24,13
2022-05-01,0
2022-05-08,10
2022-05-15,17
2022-05-22,12
2022-05-29,0
2022-06-05,9
2022-06-12,23
2022-06-19,7
2022-06-26,16
2022-07-03,14
2022-07-10,0
2022-07-17,14
2022-07-24,0
2022-07-31,0
2022-08-07,14
2022-08-14,9
2022-08-21,0
2022-08-28,11
2022-09-04,27
2022-09-11,14
2022-09-18,10
2022-09-25,13
2022-10-02,0
2022-10-09,0
2022-10-16,8
2022-10-23,38
2022-10-30,12
2022-11-06,6
2022-11-13,0
2022-11-20,11
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,30
2022-12-25,0
2023-01-01,0
2023-01-08,0
2023-01-15,14
2023-01-22,8
2023-01-29,14
2023-02-05,0
2023-02-12,11
2023-02-19,17
2023-02-26,0
2023-03-05,19
2023-03-12,0
2023-03-19,7
2023-03-26,0
2023-04-02,18
2023-04-09,7
2023-04-16,14
2023-04-23,18
2023-04-30,16
2023-05-07,16
2023-05-14,20
2023-05-21,0
2023-05-28,12
2023-06-04,16
2023-06-11,16
2023-06-18,14
2023-06-25,0
2023-07-02,7
2023-07-09,9
2023-07-16,0
