Category: All categories

Week,nova odesa: (Worldwide)
2022-02-20,39
2022-02-27,22
2022-03-06,35
2022-03-13,82
2022-03-20,46
2022-03-27,0
2022-04-03,91
2022-04-10,55
2022-04-17,34
2022-04-24,19
2022-05-01,0
2022-05-08,42
2022-05-15,64
2022-05-22,88
2022-05-29,0
2022-06-05,0
2022-06-12,35
2022-06-19,0
2022-06-26,0
2022-07-03,57
2022-07-10,43
2022-07-17,0
2022-07-24,27
2022-07-31,0
2022-08-07,28
2022-08-14,0
2022-08-21,55
2022-08-28,0
2022-09-04,35
2022-09-11,0
2022-09-18,0
2022-09-25,39
2022-10-02,0
2022-10-09,46
2022-10-16,79
2022-10-23,58
2022-10-30,0
2022-11-06,64
2022-11-13,23
2022-11-20,0
2022-11-27,41
2022-12-04,0
2022-12-11,23
2022-12-18,23
2022-12-25,91
2023-01-01,44
2023-01-08,33
2023-01-15,35
2023-01-22,51
2023-01-29,0
2023-02-05,53
2023-02-12,43
2023-02-19,50
2023-02-26,96
2023-03-05,42
2023-03-12,56
2023-03-19,33
2023-03-26,24
2023-04-02,0
2023-04-09,20
2023-04-16,37
2023-04-23,0
2023-04-30,0
2023-05-07,100
2023-05-14,0
2023-05-21,42
2023-05-28,68
2023-06-04,48
2023-06-11,48
2023-06-18,58
2023-06-25,52
2023-07-02,0
2023-07-09,32
2023-07-16,49
