Category: All categories

Week,Novhorod-Sivers'kyi: (Worldwide)
2022-02-20,30
2022-02-27,18
2022-03-06,17
2022-03-13,17
2022-03-20,22
2022-03-27,28
2022-04-03,25
2022-04-10,36
2022-04-17,31
2022-04-24,29
2022-05-01,25
2022-05-08,100
2022-05-15,31
2022-05-22,29
2022-05-29,36
2022-06-05,23
2022-06-12,32
2022-06-19,28
2022-06-26,29
2022-07-03,31
2022-07-10,31
2022-07-17,29
2022-07-24,31
2022-07-31,27
2022-08-07,23
2022-08-14,25
2022-08-21,21
2022-08-28,20
2022-09-04,24
2022-09-11,34
2022-09-18,31
2022-09-25,30
2022-10-02,29
2022-10-09,26
2022-10-16,22
2022-10-23,23
2022-10-30,26
2022-11-06,25
2022-11-13,26
2022-11-20,18
2022-11-27,21
2022-12-04,23
2022-12-11,25
2022-12-18,23
2022-12-25,23
2023-01-01,23
2023-01-08,26
2023-01-15,24
2023-01-22,22
2023-01-29,23
2023-02-05,27
2023-02-12,25
2023-02-19,31
2023-02-26,28
2023-03-05,27
2023-03-12,21
2023-03-19,28
2023-03-26,25
2023-04-02,30
2023-04-09,31
2023-04-16,27
2023-04-23,27
2023-04-30,32
2023-05-07,26
2023-05-14,23
2023-05-21,28
2023-05-28,28
2023-06-04,27
2023-06-11,27
2023-06-18,30
2023-06-25,30
2023-07-02,30
2023-07-09,29
2023-07-16,30
