Category: All categories

Week,Novhorodka: (Worldwide)
2022-02-20,38
2022-02-27,35
2022-03-06,40
2022-03-13,38
2022-03-20,40
2022-03-27,40
2022-04-03,57
2022-04-10,49
2022-04-17,42
2022-04-24,57
2022-05-01,43
2022-05-08,57
2022-05-15,65
2022-05-22,54
2022-05-29,63
2022-06-05,48
2022-06-12,64
2022-06-19,63
2022-06-26,37
2022-07-03,53
2022-07-10,46
2022-07-17,56
2022-07-24,57
2022-07-31,60
2022-08-07,52
2022-08-14,63
2022-08-21,33
2022-08-28,51
2022-09-04,45
2022-09-11,55
2022-09-18,57
2022-09-25,41
2022-10-02,41
2022-10-09,46
2022-10-16,42
2022-10-23,42
2022-10-30,54
2022-11-06,28
2022-11-13,54
2022-11-20,41
2022-11-27,33
2022-12-04,40
2022-12-11,56
2022-12-18,47
2022-12-25,37
2023-01-01,55
2023-01-08,48
2023-01-15,46
2023-01-22,38
2023-01-29,47
2023-02-05,35
2023-02-12,47
2023-02-19,31
2023-02-26,49
2023-03-05,42
2023-03-12,50
2023-03-19,53
2023-03-26,47
2023-04-02,45
2023-04-09,51
2023-04-16,73
2023-04-23,62
2023-04-30,53
2023-05-07,62
2023-05-14,51
2023-05-21,57
2023-05-28,55
2023-06-04,24
2023-06-11,57
2023-06-18,48
2023-06-25,100
2023-07-02,76
2023-07-09,60
2023-07-16,57
2023-07-23,30
