Category: All categories

Week,Novi Sanzhary: (Worldwide)
2022-02-20,63
2022-02-27,55
2022-03-06,100
2022-03-13,42
2022-03-20,45
2022-03-27,63
2022-04-03,65
2022-04-10,74
2022-04-17,63
2022-04-24,67
2022-05-01,59
2022-05-08,64
2022-05-15,75
2022-05-22,65
2022-05-29,83
2022-06-05,58
2022-06-12,69
2022-06-19,89
2022-06-26,62
2022-07-03,79
2022-07-10,93
2022-07-17,89
2022-07-24,74
2022-07-31,77
2022-08-07,84
2022-08-14,77
2022-08-21,67
2022-08-28,59
2022-09-04,65
2022-09-11,65
2022-09-18,68
2022-09-25,68
2022-10-02,53
2022-10-09,49
2022-10-16,61
2022-10-23,56
2022-10-30,63
2022-11-06,50
2022-11-13,65
2022-11-20,56
2022-11-27,62
2022-12-04,65
2022-12-11,67
2022-12-18,54
2022-12-25,64
2023-01-01,60
2023-01-08,60
2023-01-15,49
2023-01-22,42
2023-01-29,51
2023-02-05,52
2023-02-12,52
2023-02-19,70
2023-02-26,50
2023-03-05,55
2023-03-12,54
2023-03-19,66
2023-03-26,71
2023-04-02,76
2023-04-09,68
2023-04-16,79
2023-04-23,80
2023-04-30,68
2023-05-07,57
2023-05-14,55
2023-05-21,72
2023-05-28,54
2023-06-04,61
2023-06-11,67
2023-06-18,71
2023-06-25,77
2023-07-02,80
2023-07-09,70
2023-07-16,89
2023-07-23,50
