Category: All categories

Week,Novodonets'ke: (Worldwide)
2022-02-20,4
2022-02-27,5
2022-03-06,21
2022-03-13,12
2022-03-20,6
2022-03-27,8
2022-04-03,7
2022-04-10,5
2022-04-17,5
2022-04-24,5
2022-05-01,3
2022-05-08,5
2022-05-15,4
2022-05-22,6
2022-05-29,4
2022-06-05,4
2022-06-12,6
2022-06-19,8
2022-06-26,4
2022-07-03,7
2022-07-10,6
2022-07-17,5
2022-07-24,5
2022-07-31,5
2022-08-07,5
2022-08-14,6
2022-08-21,6
2022-08-28,2
2022-09-04,5
2022-09-11,4
2022-09-18,6
2022-09-25,6
2022-10-02,5
2022-10-09,4
2022-10-16,4
2022-10-23,6
2022-10-30,5
2022-11-06,5
2022-11-13,6
2022-11-20,4
2022-11-27,5
2022-12-04,6
2022-12-11,4
2022-12-18,4
2022-12-25,4
2023-01-01,5
2023-01-08,4
2023-01-15,2
2023-01-22,4
2023-01-29,6
2023-02-05,5
2023-02-12,4
2023-02-19,6
2023-02-26,5
2023-03-05,4
2023-03-12,7
2023-03-19,8
2023-03-26,6
2023-04-02,7
2023-04-09,5
2023-04-16,4
2023-04-23,9
2023-04-30,5
2023-05-07,8
2023-05-14,6
2023-05-21,9
2023-05-28,6
2023-06-04,100
2023-06-11,18
2023-06-18,13
2023-06-25,9
2023-07-02,9
2023-07-09,7
2023-07-16,5
2023-07-23,0
