Category: All categories

Week,Novomoskovs'k: (Worldwide)
2022-02-20,45
2022-02-27,42
2022-03-06,46
2022-03-13,43
2022-03-20,51
2022-03-27,71
2022-04-03,88
2022-04-10,57
2022-04-17,64
2022-04-24,51
2022-05-01,49
2022-05-08,55
2022-05-15,59
2022-05-22,62
2022-05-29,63
2022-06-05,58
2022-06-12,73
2022-06-19,65
2022-06-26,60
2022-07-03,64
2022-07-10,68
2022-07-17,66
2022-07-24,62
2022-07-31,71
2022-08-07,65
2022-08-14,65
2022-08-21,57
2022-08-28,59
2022-09-04,56
2022-09-11,60
2022-09-18,61
2022-09-25,57
2022-10-02,54
2022-10-09,49
2022-10-16,54
2022-10-23,55
2022-10-30,55
2022-11-06,48
2022-11-13,54
2022-11-20,48
2022-11-27,41
2022-12-04,53
2022-12-11,56
2022-12-18,52
2022-12-25,49
2023-01-01,55
2023-01-08,57
2023-01-15,50
2023-01-22,49
2023-01-29,53
2023-02-05,53
2023-02-12,52
2023-02-19,55
2023-02-26,51
2023-03-05,54
2023-03-12,100
2023-03-19,61
2023-03-26,64
2023-04-02,64
2023-04-09,60
2023-04-16,61
2023-04-23,68
2023-04-30,60
2023-05-07,57
2023-05-14,55
2023-05-21,65
2023-05-28,58
2023-06-04,55
2023-06-11,65
2023-06-18,61
2023-06-25,65
2023-07-02,68
2023-07-09,66
2023-07-16,62
2023-07-23,64
