Category: All categories

Week,Novomykolaivka: (Worldwide)
2022-02-20,41
2022-02-27,62
2022-03-06,44
2022-03-13,34
2022-03-20,42
2022-03-27,57
2022-04-03,52
2022-04-10,50
2022-04-17,56
2022-04-24,36
2022-05-01,65
2022-05-08,100
2022-05-15,78
2022-05-22,50
2022-05-29,86
2022-06-05,50
2022-06-12,64
2022-06-19,67
2022-06-26,47
2022-07-03,82
2022-07-10,73
2022-07-17,69
2022-07-24,71
2022-07-31,56
2022-08-07,60
2022-08-14,68
2022-08-21,35
2022-08-28,49
2022-09-04,60
2022-09-11,65
2022-09-18,50
2022-09-25,66
2022-10-02,76
2022-10-09,55
2022-10-16,54
2022-10-23,49
2022-10-30,47
2022-11-06,47
2022-11-13,67
2022-11-20,48
2022-11-27,56
2022-12-04,59
2022-12-11,47
2022-12-18,50
2022-12-25,40
2023-01-01,45
2023-01-08,56
2023-01-15,47
2023-01-22,34
2023-01-29,46
2023-02-05,41
2023-02-12,53
2023-02-19,42
2023-02-26,34
2023-03-05,70
2023-03-12,58
2023-03-19,51
2023-03-26,73
2023-04-02,67
2023-04-09,53
2023-04-16,64
2023-04-23,81
2023-04-30,68
2023-05-07,59
2023-05-14,55
2023-05-21,87
2023-05-28,73
2023-06-04,62
2023-06-11,91
2023-06-18,78
2023-06-25,88
2023-07-02,78
2023-07-09,84
2023-07-16,76
2023-07-23,95
