Category: All categories

Week,Novopetrivka: (Worldwide)
2022-02-20,9
2022-02-27,9
2022-03-06,3
2022-03-13,8
2022-03-20,8
2022-03-27,4
2022-04-03,4
2022-04-10,5
2022-04-17,4
2022-04-24,28
2022-05-01,4
2022-05-08,3
2022-05-15,0
2022-05-22,3
2022-05-29,5
2022-06-05,0
2022-06-12,9
2022-06-19,9
2022-06-26,6
2022-07-03,3
2022-07-10,5
2022-07-17,0
2022-07-24,7
2022-07-31,9
2022-08-07,7
2022-08-14,7
2022-08-21,6
2022-08-28,3
2022-09-04,6
2022-09-11,7
2022-09-18,4
2022-09-25,6
2022-10-02,100
2022-10-09,6
2022-10-16,1
2022-10-23,2
2022-10-30,4
2022-11-06,11
2022-11-13,5
2022-11-20,2
2022-11-27,0
2022-12-04,4
2022-12-11,2
2022-12-18,2
2022-12-25,3
2023-01-01,2
2023-01-08,3
2023-01-15,0
2023-01-22,3
2023-01-29,3
2023-02-05,4
2023-02-12,4
2023-02-19,2
2023-02-26,4
2023-03-05,0
2023-03-12,5
2023-03-19,0
2023-03-26,0
2023-04-02,6
2023-04-09,7
2023-04-16,21
2023-04-23,26
2023-04-30,4
2023-05-07,6
2023-05-14,0
2023-05-21,9
2023-05-28,6
2023-06-04,7
2023-06-11,25
2023-06-18,8
2023-06-25,3
2023-07-02,5
2023-07-09,7
2023-07-16,0
2023-07-23,20
