Category: All categories

Week,Novopskov: (Worldwide)
2022-02-20,23
2022-02-27,100
2022-03-06,30
2022-03-13,22
2022-03-20,17
2022-03-27,12
2022-04-03,13
2022-04-10,15
2022-04-17,13
2022-04-24,15
2022-05-01,15
2022-05-08,39
2022-05-15,17
2022-05-22,17
2022-05-29,19
2022-06-05,16
2022-06-12,16
2022-06-19,19
2022-06-26,15
2022-07-03,14
2022-07-10,19
2022-07-17,19
2022-07-24,12
2022-07-31,12
2022-08-07,11
2022-08-14,13
2022-08-21,10
2022-08-28,12
2022-09-04,11
2022-09-11,12
2022-09-18,14
2022-09-25,13
2022-10-02,10
2022-10-09,16
2022-10-16,15
2022-10-23,12
2022-10-30,11
2022-11-06,10
2022-11-13,17
2022-11-20,13
2022-11-27,11
2022-12-04,18
2022-12-11,16
2022-12-18,16
2022-12-25,16
2023-01-01,14
2023-01-08,20
2023-01-15,23
2023-01-22,11
2023-01-29,12
2023-02-05,13
2023-02-12,15
2023-02-19,15
2023-02-26,15
2023-03-05,13
2023-03-12,15
2023-03-19,12
2023-03-26,12
2023-04-02,11
2023-04-09,14
2023-04-16,14
2023-04-23,18
2023-04-30,17
2023-05-07,13
2023-05-14,11
2023-05-21,10
2023-05-28,12
2023-06-04,12
2023-06-11,11
2023-06-18,11
2023-06-25,13
2023-07-02,12
2023-07-09,12
2023-07-16,12
