Category: All categories

Week,Novyi Buh: (Worldwide)
2022-02-20,18
2022-02-27,36
2022-03-06,18
2022-03-13,16
2022-03-20,22
2022-03-27,22
2022-04-03,20
2022-04-10,28
2022-04-17,25
2022-04-24,20
2022-05-01,18
2022-05-08,24
2022-05-15,24
2022-05-22,29
2022-05-29,100
2022-06-05,24
2022-06-12,25
2022-06-19,26
2022-06-26,22
2022-07-03,26
2022-07-10,24
2022-07-17,20
2022-07-24,23
2022-07-31,27
2022-08-07,29
2022-08-14,26
2022-08-21,36
2022-08-28,28
2022-09-04,26
2022-09-11,31
2022-09-18,30
2022-09-25,26
2022-10-02,21
2022-10-09,20
2022-10-16,21
2022-10-23,23
2022-10-30,23
2022-11-06,18
2022-11-13,21
2022-11-20,20
2022-11-27,19
2022-12-04,19
2022-12-11,22
2022-12-18,19
2022-12-25,19
2023-01-01,18
2023-01-08,24
2023-01-15,17
2023-01-22,18
2023-01-29,21
2023-02-05,21
2023-02-12,19
2023-02-19,21
2023-02-26,17
2023-03-05,23
2023-03-12,19
2023-03-19,24
2023-03-26,26
2023-04-02,31
2023-04-09,31
2023-04-16,27
2023-04-23,26
2023-04-30,19
2023-05-07,22
2023-05-14,18
2023-05-21,26
2023-05-28,21
2023-06-04,17
2023-06-11,21
2023-06-18,22
2023-06-25,27
2023-07-02,28
2023-07-09,22
2023-07-16,26
