Category: All categories

Week,Nyzhnia Duvanka: (Worldwide)
2022-02-20,0
2022-02-27,29
2022-03-06,44
2022-03-13,0
2022-03-20,33
2022-03-27,0
2022-04-03,0
2022-04-10,25
2022-04-17,10
2022-04-24,15
2022-05-01,0
2022-05-08,28
2022-05-15,31
2022-05-22,20
2022-05-29,13
2022-06-05,0
2022-06-12,94
2022-06-19,55
2022-06-26,0
2022-07-03,0
2022-07-10,15
2022-07-17,23
2022-07-24,23
2022-07-31,47
2022-08-07,0
2022-08-14,13
2022-08-21,0
2022-08-28,35
2022-09-04,29
2022-09-11,100
2022-09-18,40
2022-09-25,29
2022-10-02,36
2022-10-09,31
2022-10-16,26
2022-10-23,50
2022-10-30,31
2022-11-06,50
2022-11-13,16
2022-11-20,17
2022-11-27,0
2022-12-04,0
2022-12-11,28
2022-12-18,19
2022-12-25,18
2023-01-01,28
2023-01-08,20
2023-01-15,16
2023-01-22,14
2023-01-29,0
2023-02-05,0
2023-02-12,17
2023-02-19,13
2023-02-26,0
2023-03-05,0
2023-03-12,19
2023-03-19,48
2023-03-26,12
2023-04-02,39
2023-04-09,66
2023-04-16,19
2023-04-23,58
2023-04-30,19
2023-05-07,0
2023-05-14,27
2023-05-21,41
2023-05-28,0
2023-06-04,12
2023-06-11,0
2023-06-18,0
2023-06-25,0
2023-07-02,13
2023-07-09,0
2023-07-16,0
2023-07-23,0
