Category: All categories

Week,Ochakiv: (Worldwide)
2022-02-20,100
2022-02-27,45
2022-03-06,20
2022-03-13,20
2022-03-20,17
2022-03-27,18
2022-04-03,56
2022-04-10,20
2022-04-17,27
2022-04-24,19
2022-05-01,22
2022-05-08,20
2022-05-15,23
2022-05-22,29
2022-05-29,30
2022-06-05,39
2022-06-12,23
2022-06-19,45
2022-06-26,59
2022-07-03,26
2022-07-10,21
2022-07-17,18
2022-07-24,19
2022-07-31,20
2022-08-07,19
2022-08-14,22
2022-08-21,20
2022-08-28,17
2022-09-04,24
2022-09-11,32
2022-09-18,28
2022-09-25,28
2022-10-02,22
2022-10-09,29
2022-10-16,26
2022-10-23,26
2022-10-30,38
2022-11-06,19
2022-11-13,26
2022-11-20,22
2022-11-27,19
2022-12-04,17
2022-12-11,23
2022-12-18,32
2022-12-25,20
2023-01-01,23
2023-01-08,95
2023-01-15,24
2023-01-22,17
2023-01-29,26
2023-02-05,20
2023-02-12,18
2023-02-19,19
2023-02-26,19
2023-03-05,26
2023-03-12,19
2023-03-19,16
2023-03-26,19
2023-04-02,20
2023-04-09,23
2023-04-16,18
2023-04-23,18
2023-04-30,18
2023-05-07,16
2023-05-14,18
2023-05-21,19
2023-05-28,16
2023-06-04,15
2023-06-11,17
2023-06-18,15
2023-06-25,15
2023-07-02,18
2023-07-09,19
2023-07-16,17
