Category: All categories

Week,odesa: (Worldwide)
2022-02-20,100
2022-02-27,100
2022-03-06,87
2022-03-13,62
2022-03-20,46
2022-03-27,37
2022-04-03,48
2022-04-10,31
2022-04-17,30
2022-04-24,38
2022-05-01,33
2022-05-08,40
2022-05-15,24
2022-05-22,24
2022-05-29,21
2022-06-05,21
2022-06-12,21
2022-06-19,22
2022-06-26,28
2022-07-03,22
2022-07-10,24
2022-07-17,30
2022-07-24,35
2022-07-31,30
2022-08-07,22
2022-08-14,26
2022-08-21,24
2022-08-28,20
2022-09-04,23
2022-09-11,20
2022-09-18,22
2022-09-25,24
2022-10-02,24
2022-10-09,26
2022-10-16,25
2022-10-23,27
2022-10-30,28
2022-11-06,27
2022-11-13,31
2022-11-20,26
2022-11-27,30
2022-12-04,33
2022-12-11,32
2022-12-18,24
2022-12-25,29
2023-01-01,25
2023-01-08,25
2023-01-15,26
2023-01-22,30
2023-01-29,27
2023-02-05,27
2023-02-12,26
2023-02-19,29
2023-02-26,32
2023-03-05,33
2023-03-12,28
2023-03-19,28
2023-03-26,30
2023-04-02,31
2023-04-09,29
2023-04-16,30
2023-04-23,32
2023-04-30,34
2023-05-07,31
2023-05-14,31
2023-05-21,28
2023-05-28,31
2023-06-04,33
2023-06-11,35
2023-06-18,32
2023-06-25,29
2023-07-02,32
2023-07-09,32
2023-07-16,64
