Category: All categories

Week,Oleksandriya: (Worldwide)
2022-02-20,26
2022-02-27,19
2022-03-06,0
2022-03-13,33
2022-03-20,41
2022-03-27,0
2022-04-03,10
2022-04-10,69
2022-04-17,44
2022-04-24,0
2022-05-01,29
2022-05-08,73
2022-05-15,0
2022-05-22,0
2022-05-29,42
2022-06-05,26
2022-06-12,23
2022-06-19,43
2022-06-26,59
2022-07-03,100
2022-07-10,64
2022-07-17,32
2022-07-24,47
2022-07-31,56
2022-08-07,73
2022-08-14,55
2022-08-21,46
2022-08-28,22
2022-09-04,55
2022-09-11,49
2022-09-18,52
2022-09-25,54
2022-10-02,72
2022-10-09,22
2022-10-16,71
2022-10-23,60
2022-10-30,30
2022-11-06,45
2022-11-13,68
2022-11-20,36
2022-11-27,32
2022-12-04,37
2022-12-11,71
2022-12-18,50
2022-12-25,60
2023-01-01,51
2023-01-08,36
2023-01-15,79
2023-01-22,39
2023-01-29,55
2023-02-05,50
2023-02-12,51
2023-02-19,46
2023-02-26,41
2023-03-05,67
2023-03-12,33
2023-03-19,48
2023-03-26,13
2023-04-02,69
2023-04-09,64
2023-04-16,92
2023-04-23,74
2023-04-30,16
2023-05-07,39
2023-05-14,86
2023-05-21,46
2023-05-28,0
2023-06-04,68
2023-06-11,71
2023-06-18,60
2023-06-25,57
2023-07-02,64
2023-07-09,33
2023-07-16,48
2023-07-23,0
