Category: All categories

Week,orikhiv: (Worldwide)
2022-02-20,0
2022-02-27,12
2022-03-06,2
2022-03-13,3
2022-03-20,0
2022-03-27,0
2022-04-03,0
2022-04-10,0
2022-04-17,5
2022-04-24,9
2022-05-01,6
2022-05-08,4
2022-05-15,3
2022-05-22,4
2022-05-29,4
2022-06-05,3
2022-06-12,0
2022-06-19,0
2022-06-26,7
2022-07-03,0
2022-07-10,0
2022-07-17,0
2022-07-24,6
2022-07-31,0
2022-08-07,0
2022-08-14,7
2022-08-21,0
2022-08-28,7
2022-09-04,0
2022-09-11,2
2022-09-18,6
2022-09-25,0
2022-10-02,0
2022-10-09,4
2022-10-16,0
2022-10-23,0
2022-10-30,3
2022-11-06,0
2022-11-13,2
2022-11-20,4
2022-11-27,2
2022-12-04,5
2022-12-11,8
2022-12-18,0
2022-12-25,0
2023-01-01,0
2023-01-08,4
2023-01-15,25
2023-01-22,20
2023-01-29,3
2023-02-05,0
2023-02-12,0
2023-02-19,5
2023-02-26,5
2023-03-05,4
2023-03-12,2
2023-03-19,0
2023-03-26,0
2023-04-02,0
2023-04-09,2
2023-04-16,8
2023-04-23,5
2023-04-30,3
2023-05-07,13
2023-05-14,4
2023-05-21,5
2023-05-28,0
2023-06-04,100
2023-06-11,56
2023-06-18,15
2023-06-25,15
2023-07-02,7
2023-07-09,21
2023-07-16,7
