Category: All categories

Week,pavlivka: (Worldwide)
2022-02-20,0
2022-02-27,2
2022-03-06,0
2022-03-13,0
2022-03-20,0
2022-03-27,1
2022-04-03,1
2022-04-10,0
2022-04-17,0
2022-04-24,0
2022-05-01,0
2022-05-08,1
2022-05-15,2
2022-05-22,0
2022-05-29,0
2022-06-05,2
2022-06-12,0
2022-06-19,5
2022-06-26,1
2022-07-03,0
2022-07-10,4
2022-07-17,3
2022-07-24,0
2022-07-31,0
2022-08-07,1
2022-08-14,3
2022-08-21,2
2022-08-28,0
2022-09-04,0
2022-09-11,1
2022-09-18,1
2022-09-25,1
2022-10-02,5
2022-10-09,0
2022-10-16,0
2022-10-23,1
2022-10-30,24
2022-11-06,100
2022-11-13,24
2022-11-20,9
2022-11-27,7
2022-12-04,3
2022-12-11,1
2022-12-18,4
2022-12-25,2
2023-01-01,0
2023-01-08,3
2023-01-15,1
2023-01-22,3
2023-01-29,4
2023-02-05,0
2023-02-12,2
2023-02-19,1
2023-02-26,1
2023-03-05,1
2023-03-12,0
2023-03-19,0
2023-03-26,0
2023-04-02,2
2023-04-09,0
2023-04-16,1
2023-04-23,1
2023-04-30,1
2023-05-07,0
2023-05-14,1
2023-05-21,0
2023-05-28,1
2023-06-04,1
2023-06-11,2
2023-06-18,0
2023-06-25,0
2023-07-02,0
2023-07-09,2
2023-07-16,1
