Category: All categories

Week,pavlohrad: (Worldwide)
2022-02-20,3
2022-02-27,6
2022-03-06,2
2022-03-13,0
2022-03-20,6
2022-03-27,3
2022-04-03,1
2022-04-10,1
2022-04-17,4
2022-04-24,4
2022-05-01,3
2022-05-08,3
2022-05-15,0
2022-05-22,4
2022-05-29,2
2022-06-05,1
2022-06-12,0
2022-06-19,0
2022-06-26,0
2022-07-03,3
2022-07-10,0
2022-07-17,0
2022-07-24,4
2022-07-31,0
2022-08-07,0
2022-08-14,0
2022-08-21,0
2022-08-28,0
2022-09-04,2
2022-09-11,3
2022-09-18,0
2022-09-25,1
2022-10-02,2
2022-10-09,3
2022-10-16,0
2022-10-23,0
2022-10-30,1
2022-11-06,3
2022-11-13,1
2022-11-20,0
2022-11-27,0
2022-12-04,0
2022-12-11,0
2022-12-18,0
2022-12-25,4
2023-01-01,0
2023-01-08,2
2023-01-15,4
2023-01-22,2
2023-01-29,0
2023-02-05,0
2023-02-12,3
2023-02-19,0
2023-02-26,0
2023-03-05,1
2023-03-12,2
2023-03-19,0
2023-03-26,0
2023-04-02,2
2023-04-09,0
2023-04-16,0
2023-04-23,0
2023-04-30,100
2023-05-07,5
2023-05-14,0
2023-05-21,4
2023-05-28,2
2023-06-04,0
2023-06-11,1
2023-06-18,1
2023-06-25,0
2023-07-02,1
2023-07-09,0
2023-07-16,1
